,0,1,# of Shots 0
0,data/fruits-images-dataset-object-detection/Train File/Train File/19_Banana.jpg,Banana,Banana
1,data/fruits-images-dataset-object-detection/Train File/Train File/11_Papaya.jpg,Papaya,Papaya
2,data/fruits-images-dataset-object-detection/Train File/Train File/20_Apple.jpg,Apple,Apple
3,data/fruits-images-dataset-object-detection/Train File/Train File/22_Litchi.jpg,Litchi,Litchi
4,data/fruits-images-dataset-object-detection/Train File/Train File/27_Litchi.jpg,Litchi,Litchi
5,data/fruits-images-dataset-object-detection/Train File/Train File/20_Jackfruit.jpg,Jackfruit,Jackfruit
6,data/fruits-images-dataset-object-detection/Train File/Train File/18_HogPlum.jpg,Hog Plum,Hog Plum
7,data/fruits-images-dataset-object-detection/Train File/Train File/13_Banana.jpg,Banana,Banana
8,data/fruits-images-dataset-object-detection/Train File/Train File/06_Grapes.jpeg,Grapes,Grapes
9,data/fruits-images-dataset-object-detection/Train File/Train File/14_Guava.jpg,Guava,Guava
10,data/fruits-images-dataset-object-detection/Train File/Train File/09_Grapes.jpg,Grapes,Grapes
11,data/fruits-images-dataset-object-detection/Train File/Train File/25_Jackfruit.jpg,Jackfruit,Jackfruit
12,data/fruits-images-dataset-object-detection/Train File/Train File/12_Apple.jpg,Apple,Apple
13,data/fruits-images-dataset-object-detection/Train File/Train File/16_Jackfruit.jpg,Jackfruit,Jackfruit
14,data/fruits-images-dataset-object-detection/Train File/Train File/23_Mango.jpg,Mango,Mango
15,data/fruits-images-dataset-object-detection/Train File/Train File/03_Guava.jpg,Guava,Guava
16,data/fruits-images-dataset-object-detection/Train File/Train File/18_Apple.jpg,Apple,Apple
17,data/fruits-images-dataset-object-detection/Train File/Train File/04_ Apple.jpg,Apple,Apple
18,data/fruits-images-dataset-object-detection/Train File/Train File/32_Grapes.jpg,Grapes,Grapes
19,data/fruits-images-dataset-object-detection/Train File/Train File/05_Jackfruit.jpg,Jackfruit,Jackfruit
20,data/fruits-images-dataset-object-detection/Train File/Train File/13_Papaya.jpg,Papaya,Papaya
21,data/fruits-images-dataset-object-detection/Train File/Train File/06_Banana.jpg,Banana,Banana
22,data/fruits-images-dataset-object-detection/Train File/Train File/14_HogPlum.jpg,Hog Plum,Hog Plum
23,data/fruits-images-dataset-object-detection/Train File/Train File/02_Lichi.jpg,Litchi,Litchi
24,data/fruits-images-dataset-object-detection/Train File/Train File/25_Orange.jpg,Orange,Orange
25,data/fruits-images-dataset-object-detection/Train File/Train File/01_Grapes.jpg,Grapes,Grapes
26,data/fruits-images-dataset-object-detection/Train File/Train File/11_Litchi.jpg,Litchi,Litchi
27,data/fruits-images-dataset-object-detection/Train File/Train File/16_Mango.jpg,Mango,Mango
28,data/fruits-images-dataset-object-detection/Train File/Train File/08_Guava.jpg,Guava,Guava
29,data/fruits-images-dataset-object-detection/Train File/Train File/13_Apple.jpg,Apple,Apple
30,data/fruits-images-dataset-object-detection/Train File/Train File/30_Grapes.jpg,Grapes,Grapes
31,data/fruits-images-dataset-object-detection/Train File/Train File/19_Litchi.jpg,Litchi,Litchi
32,data/fruits-images-dataset-object-detection/Train File/Train File/12_Banana.jpg,Banana,Banana
33,data/fruits-images-dataset-object-detection/Train File/Train File/22_HogPlum.jpg,Hog Plum,Hog Plum
34,data/fruits-images-dataset-object-detection/Train File/Train File/11_Mango.jpg,Mango,Mango
35,data/fruits-images-dataset-object-detection/Train File/Train File/17_Guava.jpg,Guava,Guava
36,data/fruits-images-dataset-object-detection/Train File/Train File/11_Orange.jpg,Orange,Orange
37,data/fruits-images-dataset-object-detection/Train File/Train File/18_Orange.jpg,Orange,Orange
38,data/fruits-images-dataset-object-detection/Train File/Train File/29_Jackfruit.jpg,Jackfruit,Jackfruit
