,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.335.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.166.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.303.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.166.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.13.jpg,Healthy,Bean Rust,Healthy,Healthy,Healthy,Healthy
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.33.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.179.jpg,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Bean Rust
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.42.jpg,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.273.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Bean Rust
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.195.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
