,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.130.jpg,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,NA
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.241.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.141.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.192.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.297.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.289.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.5.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.244.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.189.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Bean Rust
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.335.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.307.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.301.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
12,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.292.jpg,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
13,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.198.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
14,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.293.jpg,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Bean Rust
15,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.162.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
16,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.337.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
17,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.93.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
18,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.92.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
19,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
20,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.231.jpg,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Healthy,Bean Rust,Bean Rust
21,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.94.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
22,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
23,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
24,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
25,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.179.jpg,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Bean Rust
26,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.306.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
