,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0062.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0050.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0054.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0054.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0050.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0062.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0050.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0019.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0054.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0019.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0019.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0062.jpg,Foreign Matters,NA,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
