,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG,Mild Tungro,Mild Blast,Mild Brownspot,Severe Tungro,Mild Tungro,Severe Tungro
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Severe Brownspot,Severe Brownspot,Severe Brownspot
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG,Severe Bacterial Blight,Severe Bacterial Blight,Mild Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg,Mild Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Tungro,Severe Tungro
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_125.JPG,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST1_066.JPG,Mild Blast,Mild Brownspot,Mild Blast,Mild Blast,Severe Blast,Mild Brownspot
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg,Mild Blast,Mild Brownspot,Mild Blast,Mild Blast,Mild Brownspot,Mild Blast
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_145027.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg,Severe Tungro,Mild Tungro,Severe Tungro,Mild Tungro,Severe Tungro,Mild Tungro
12,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST1_096.jpg,Severe Blast,Mild Blast,Severe Blast,Mild Blast,Severe Blast,Severe Blast
13,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_200435.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
14,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg,Severe Blast,Severe Bacterial Blight,Severe Blast,Mild Blast,Mild Blast,Severe Blast
15,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg,Mild Blast,Mild Brownspot,Severe Bacterial Blight,Mild Blast,Severe Blast,Mild Bacterial Blight
16,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
17,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg,Severe Bacterial Blight,Severe Bacterial Blight,Mild Bacterial Blight,Mild Brownspot,Severe Bacterial Blight,Severe Bacterial Blight
18,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
19,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG,Severe Tungro,Mild Blast,Mild Tungro,Severe Tungro,Severe Tungro,Mild Tungro
20,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG,Severe Blast,Severe Bacterial Blight,Severe Blast,Severe Brownspot,Mild Bacterial Blight,Severe Brownspot
21,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg,Severe Tungro,Severe Brownspot,Severe Tungro,Severe Bacterial Blight,Severe Brownspot,Severe Bacterial Blight
