,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1,F1,F1,F1,F1,F1,F1,NMAE,NMAE,NMAE,NMAE,NMAE
,Seed Morphology,Seed Morphology,Foliar Stress,Foliar Stress,Foliar Stress,Invasive Species,Invasive Species,Disease Severity,Stress Tolerance,Stress Tolerance,Pest,Disease
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,Soybean Diseases,Dangerous Insects,DeepWeeds,Yellow Rust 19,IDC,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,,
Gemini-pro-1.5,79.66,52.19,71.68,78.17,24.41,82.98,49.96,17.08,12.04,17.0,9.57,13.04
GPT-4o,95.94,48.29,80.96,86.9,62.96,82.56,56.03,15.83,60.82,19.75,6.84,10.93
LLaVA v1.6 34B,46.8,23.1,22.84,48.5,10.53,12.08,13.23,30.56,60.82,60.0,13.18,26.28
Claude-3.5-sonnet,89.66,51.17,61.68,84.78,11.07,81.89,27.17,16.04,16.84,14.0,5.75,11.31
Gemini-flash-1.5,83.7,48.09,64.66,73.42,23.67,82.72,41.89,20.83,15.56,17.5,6.11,12.92
Claude-3-haiku,53.29,38.02,38.92,46.42,8.81,45.08,15.34,25.69,23.06,21.75,19.16,17.57
