,0,1,# of Shots 0
0,data/Drowsy_datset/train/DROWSY/1641.png,DROWSY,DROWSY
1,data/Drowsy_datset/train/DROWSY/1728.png,DROWSY,DROWSY
2,data/Drowsy_datset/train/DROWSY/2148.png,DROWSY,DROWSY
3,data/Drowsy_datset/train/NATURAL/1354.png,NATURAL,NATURAL
4,data/Drowsy_datset/train/NATURAL/721.png,NATURAL,NATURAL
5,data/Drowsy_datset/train/NATURAL/2251.jpg_0.png,NATURAL,NATURAL
6,data/Drowsy_datset/train/NATURAL/1096.png,NATURAL,NATURAL
7,data/Drowsy_datset/train/DROWSY/321.jpg_0.png,DROWSY,NATURAL
8,data/Drowsy_datset/train/NATURAL/v0079.png,NATURAL,NATURAL
9,data/Drowsy_datset/train/NATURAL/v1000.png,NATURAL,NATURAL
10,data/Drowsy_datset/train/NATURAL/n0856.png,NATURAL,NATURAL
11,data/Drowsy_datset/train/NATURAL/q0101.png,NATURAL,DROWSY
12,data/Drowsy_datset/train/DROWSY/93.jpg_0.png,DROWSY,NATURAL
13,data/Drowsy_datset/train/NATURAL/701.png,NATURAL,NATURAL
14,data/Drowsy_datset/train/DROWSY/1217.png,DROWSY,DROWSY
15,data/Drowsy_datset/train/NATURAL/1162.png,NATURAL,NATURAL
16,data/Drowsy_datset/train/DROWSY/1068.png,DROWSY,NATURAL
17,data/Drowsy_datset/train/DROWSY/908.png,DROWSY,DROWSY
18,data/Drowsy_datset/train/NATURAL/1259.png,NATURAL,NATURAL
19,data/Drowsy_datset/train/NATURAL/v0038.png,NATURAL,NATURAL
20,data/Drowsy_datset/train/DROWSY/432.png,DROWSY,DROWSY
21,data/Drowsy_datset/train/DROWSY/1256.png,DROWSY,DROWSY
22,data/Drowsy_datset/train/NATURAL/1857.jpg_0.png,NATURAL,NATURAL
23,data/Drowsy_datset/train/NATURAL/a0305.png,NATURAL,NATURAL
24,data/Drowsy_datset/train/DROWSY/194.png,DROWSY,DROWSY
25,data/Drowsy_datset/train/NATURAL/354.png,NATURAL,DROWSY
26,data/Drowsy_datset/train/NATURAL/d0754.png,NATURAL,DROWSY
27,data/Drowsy_datset/train/DROWSY/128.png,DROWSY,DROWSY
28,data/Drowsy_datset/train/NATURAL/1856.jpg_0.png,NATURAL,NATURAL
29,data/Drowsy_datset/train/DROWSY/103.png,DROWSY,NATURAL
30,data/Drowsy_datset/train/NATURAL/a0335.png,NATURAL,NATURAL
31,data/Drowsy_datset/train/NATURAL/572.jpg_0.png,NATURAL,NATURAL
32,data/Drowsy_datset/train/DROWSY/354.jpg_0.png,DROWSY,DROWSY
33,data/Drowsy_datset/train/NATURAL/557.jpg_0.png,NATURAL,NATURAL
34,data/Drowsy_datset/train/DROWSY/1214.png,DROWSY,DROWSY
35,data/Drowsy_datset/train/NATURAL/k0493.png,NATURAL,NATURAL
36,data/Drowsy_datset/train/DROWSY/342.jpg_0.png,DROWSY,DROWSY
37,data/Drowsy_datset/train/DROWSY/69.jpg_0.png,DROWSY,NATURAL
38,data/Drowsy_datset/train/NATURAL/505.jpg_0.png,NATURAL,NATURAL
39,data/Drowsy_datset/train/NATURAL/2517.jpg_0.png,NATURAL,NATURAL
40,data/Drowsy_datset/train/NATURAL/735.png,NATURAL,NATURAL
41,data/Drowsy_datset/train/NATURAL/1178.png,NATURAL,NATURAL
42,data/Drowsy_datset/train/NATURAL/k0479.png,NATURAL,DROWSY
43,data/Drowsy_datset/train/DROWSY/775.png,DROWSY,DROWSY
44,data/Drowsy_datset/train/NATURAL/272.png,NATURAL,DROWSY
45,data/Drowsy_datset/train/NATURAL/219.png,NATURAL,DROWSY
46,data/Drowsy_datset/train/DROWSY/1533.png,DROWSY,NATURAL
47,data/Drowsy_datset/train/NATURAL/1056.png,NATURAL,DROWSY
48,data/Drowsy_datset/train/DROWSY/1674.png,DROWSY,DROWSY
49,data/Drowsy_datset/train/NATURAL/244.png,NATURAL,DROWSY
50,data/Drowsy_datset/train/NATURAL/a0035.png,NATURAL,NATURAL
51,data/Drowsy_datset/train/NATURAL/982.png,NATURAL,NATURAL
52,data/Drowsy_datset/train/NATURAL/a0089.png,NATURAL,NATURAL
53,data/Drowsy_datset/train/NATURAL/a0327.png,NATURAL,NATURAL
54,data/Drowsy_datset/train/NATURAL/131.png,NATURAL,NATURAL
55,data/Drowsy_datset/train/DROWSY/1454.png,DROWSY,DROWSY
56,data/Drowsy_datset/train/NATURAL/a0313.png,NATURAL,NATURAL
57,data/Drowsy_datset/train/DROWSY/44.jpg_0.png,DROWSY,NATURAL
58,data/Drowsy_datset/train/NATURAL/606.jpg_0.png,NATURAL,NATURAL
59,data/Drowsy_datset/train/DROWSY/250.png,DROWSY,DROWSY
60,data/Drowsy_datset/train/DROWSY/392.jpg_0.png,DROWSY,DROWSY
61,data/Drowsy_datset/train/DROWSY/1664.png,DROWSY,DROWSY
62,data/Drowsy_datset/train/DROWSY/1295.png,DROWSY,DROWSY
63,data/Drowsy_datset/train/NATURAL/a0317.png,NATURAL,NATURAL
64,data/Drowsy_datset/train/DROWSY/2194.png,DROWSY,NATURAL
65,data/Drowsy_datset/train/DROWSY/878.png,DROWSY,DROWSY
66,data/Drowsy_datset/train/NATURAL/1031.png,NATURAL,NATURAL
67,data/Drowsy_datset/train/DROWSY/339.jpg_0.png,DROWSY,DROWSY
68,data/Drowsy_datset/train/DROWSY/988.png,DROWSY,DROWSY
69,data/Drowsy_datset/train/DROWSY/2229.png,DROWSY,DROWSY
70,data/Drowsy_datset/train/DROWSY/159.jpg_0.png,DROWSY,NATURAL
71,data/Drowsy_datset/train/NATURAL/v0124.png,NATURAL,NATURAL
72,data/Drowsy_datset/train/DROWSY/400.jpg_0.png,DROWSY,DROWSY
73,data/Drowsy_datset/train/NATURAL/745.png,NATURAL,NATURAL
74,data/Drowsy_datset/train/DROWSY/599.jpg_0.png,DROWSY,DROWSY
75,data/Drowsy_datset/train/DROWSY/877.png,DROWSY,DROWSY
76,data/Drowsy_datset/train/DROWSY/1146.png,DROWSY,DROWSY
77,data/Drowsy_datset/train/NATURAL/914.jpg_0.png,NATURAL,NATURAL
78,data/Drowsy_datset/train/DROWSY/916.png,DROWSY,DROWSY
79,data/Drowsy_datset/train/DROWSY/693.png,DROWSY,DROWSY
80,data/Drowsy_datset/train/DROWSY/389.jpg_0.png,DROWSY,NATURAL
81,data/Drowsy_datset/train/DROWSY/301.jpg_0.png,DROWSY,NATURAL
82,data/Drowsy_datset/train/NATURAL/s0210.png,NATURAL,NATURAL
83,data/Drowsy_datset/train/NATURAL/s0221.png,NATURAL,NATURAL
84,data/Drowsy_datset/train/NATURAL/1213.png,NATURAL,NATURAL
85,data/Drowsy_datset/train/DROWSY/1748.png,DROWSY,DROWSY
86,data/Drowsy_datset/train/NATURAL/q0121.png,NATURAL,NATURAL
87,data/Drowsy_datset/train/NATURAL/1075.png,NATURAL,NATURAL
88,data/Drowsy_datset/train/NATURAL/387.png,NATURAL,NATURAL
89,data/Drowsy_datset/train/DROWSY/2101.png,DROWSY,DROWSY
90,data/Drowsy_datset/train/DROWSY/900.png,DROWSY,DROWSY
91,data/Drowsy_datset/train/DROWSY/2021.png,DROWSY,DROWSY
92,data/Drowsy_datset/train/DROWSY/1739.png,DROWSY,DROWSY
93,data/Drowsy_datset/train/DROWSY/1542.png,DROWSY,DROWSY
94,data/Drowsy_datset/train/NATURAL/528.jpg_0.png,NATURAL,DROWSY
95,data/Drowsy_datset/train/DROWSY/1309.png,DROWSY,DROWSY
96,data/Drowsy_datset/train/DROWSY/1900.png,DROWSY,DROWSY
97,data/Drowsy_datset/train/NATURAL/733.png,NATURAL,NATURAL
98,data/Drowsy_datset/train/DROWSY/848.png,DROWSY,DROWSY
99,data/Drowsy_datset/train/DROWSY/578.png,DROWSY,DROWSY
