,0,1,# of Shots 0
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/normal/Im056_ACRIMA.jpg,normal,glaucoma
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/normal/Im081_ACRIMA.jpg,normal,glaucoma
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/normal/Im141_ACRIMA.jpg,normal,glaucoma
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im423_g_ACRIMA.jpg,glaucoma,glaucoma
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im488_g_ACRIMA.jpg,glaucoma,glaucoma
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im482_g_ACRIMA.jpg,glaucoma,glaucoma
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im666_g_ACRIMA.jpg,glaucoma,glaucoma
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/normal/Im160_ACRIMA.jpg,normal,glaucoma
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im646_g_ACRIMA.jpg,glaucoma,glaucoma
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im484_g_ACRIMA.jpg,glaucoma,glaucoma
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im402_g_ACRIMA.jpg,glaucoma,glaucoma
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/glaucoma/Im685_g_ACRIMA.jpg,glaucoma,glaucoma
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/glaucoma-dataset/Dataset_New/Dataset_New/ACRIMA/normal/Im127_ACRIMA.jpg,normal,glaucoma
