,0,1,# of Shots 0
0,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/21.jpg,aneurysm,tumor
1,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/72.jpg,aneurysm,aneurysm
2,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/87.jpg,cancer,aneurysm
3,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/33.jpg,tumor,aneurysm
4,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/40.jpg,cancer,aneurysm
5,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/24.jpg,cancer,tumor
6,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/46.jpg,aneurysm,aneurysm
7,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/83.jpg,aneurysm,aneurysm
8,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/23.jpg,tumor,tumor
9,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/44.jpg,tumor,tumor
10,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/46.jpg,tumor,aneurysm
11,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/84.jpg,cancer,aneurysm
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/81.jpg,aneurysm,tumor
13,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/60.jpg,tumor,aneurysm
14,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/24.jpg,aneurysm,tumor
15,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/65.jpg,tumor,tumor
16,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/22.jpg,tumor,aneurysm
17,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/35.jpg,tumor,aneurysm
18,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/86.jpg,cancer,tumor
19,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/82.jpg,cancer,tumor
20,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/38.jpg,aneurysm,aneurysm
21,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/63.jpg,cancer,tumor
22,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/4.jpg,cancer,tumor
23,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/56.jpg,tumor,aneurysm
24,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/59.jpg,aneurysm,tumor
25,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/44.jpg,aneurysm,aneurysm
26,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/83.jpg,tumor,aneurysm
27,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/76.jpg,cancer,aneurysm
28,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/24.jpg,tumor,tumor
29,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/8.jpg,aneurysm,aneurysm
30,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/13.jpg,cancer,tumor
31,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/26.jpg,tumor,tumor
32,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/11.jpg,tumor,tumor
33,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/12.jpg,cancer,tumor
34,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/78.jpg,tumor,tumor
35,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/35.jpg,aneurysm,aneurysm
36,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/52.jpg,cancer,aneurysm
37,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/57.jpg,aneurysm,tumor
38,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/38.jpg,tumor,aneurysm
39,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/20.jpg,cancer,tumor
40,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/63.jpg,aneurysm,aneurysm
41,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/72.jpg,tumor,tumor
42,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/22.jpg,aneurysm,tumor
43,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/32.jpg,tumor,aneurysm
44,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/31.jpg,tumor,aneurysm
45,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/59.jpg,cancer,aneurysm
46,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/54.jpg,tumor,aneurysm
47,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/71.jpg,aneurysm,aneurysm
48,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/52.jpg,tumor,aneurysm
49,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/75.jpg,tumor,aneurysm
50,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/14.jpg,tumor,tumor
51,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/51.jpg,tumor,tumor
