,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145336 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
1,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_120225 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
2,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122314 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
3,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162700 (Custom).jpg,Gall Midge,Anthracnose,Cutting Weevil,Gall Midge,Bacterial Canker,Gall Midge
4,data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
5,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122653 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
6,data/mango-leaf-disease-dataset/Die Back/20211129_164418 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
7,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124044 (Custom).jpg,Powdery Mildew,Powdery Mildew,Sooty Mould,Powdery Mildew,Powdery Mildew,Powdery Mildew
8,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135002 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker,Bacterial Canker
9,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141854 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker
10,data/mango-leaf-disease-dataset/Die Back/20211129_164349 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
