,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0057.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0015.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0057.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0026.jpg,Starchy Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0031.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0026.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0031.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0020.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0021.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0054.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
