,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_494.jpg,No disease (0),Resistant (R),No disease (0),No disease (0),Resistant (R),No disease (0)
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_58.jpg,Moderately Resistant (MR),Resistant (R),Resistant (R),No disease (0),No disease (0),Resistant (R)
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_1642.jpg,Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR)
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_449.jpg,No disease (0),Resistant (R),No disease (0),No disease (0),Resistant (R),Resistant (R)
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_548.jpg,MRMS,Moderately Resistant (MR),Resistant (R),Resistant (R),MRMS,Moderately Resistant (MR)
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_1170.jpg,Moderately Resistant (MR),Resistant (R),Resistant (R),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR)
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_60.jpg,Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR)
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_1250.jpg,MRMS,No disease (0),Moderately Resistant (MR),Moderately Resistant-Moderately Susceptible (MRMS),Resistant (R),MRMS
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_883.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Susceptible (MS)
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1206.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Moderately Resistant (MR),Susceptible (S),MRMS
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_1593.jpg,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS),Resistant (R)
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_2414.jpg,Resistant (R),Susceptible (S),Moderately Resistant (MR),Moderately Susceptible (MS),Resistant (R),Moderately Resistant (MR)
12,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_526.jpg,Resistant (R),Resistant (R),Moderately Resistant (MR),No disease (0),No disease (0),No disease (0)
13,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_2166.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Moderately Susceptible (MS),Susceptible (S),Susceptible (S)
14,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1731.jpg,Resistant (R),Resistant (R),Moderately Susceptible (MS),Resistant (R),Resistant (R),Moderately Resistant (MR)
15,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_814.jpg,Resistant (R),Moderately Susceptible (MS),Moderately Resistant (MR),Susceptible (S),Moderately Susceptible (MS),Moderately Susceptible (MS)
16,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1472.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Moderately Resistant (MR),Susceptible (S)
17,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1664.jpg,Resistant (R),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR)
18,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1766.jpg,Susceptible (S),Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Susceptible (S)
19,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1786.jpg,No disease (0),No disease (0),No disease (0),No disease (0),Resistant (R),Resistant (R)
20,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_75.jpg,MRMS,Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS)
21,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_2200.jpg,Moderately Resistant (MR),No disease (0),No disease (0),No disease (0),No disease (0),Moderately Resistant (MR)
22,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1843.jpg,Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Moderately Susceptible (MS)
23,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_2128.jpg,Moderately Resistant (MR),No disease (0),No disease (0),Resistant (R),No disease (0),Resistant (R)
24,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1290.jpg,No disease (0),No disease (0),No disease (0),Resistant (R),Moderately Resistant (MR),No disease (0)
25,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_603.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant-Moderately Susceptible (MRMS),Moderately Resistant (MR)
26,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_250.jpg,MRMS,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR)
27,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_84.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistance (MR),Moderately Resistant (MR)
28,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_986.jpg,MRMS,Resistant (R),No disease (0),No disease (0),No disease (0),Moderately Resistant (MR)
29,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_255.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
30,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1296.jpg,Resistant (R),Moderately Resistant (MR),Resistant (R),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR)
31,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_163.jpg,Moderately Resistant (MR),Resistant (R),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR),MRMS
32,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_650.jpg,Moderately Resistant (MR),Resistant (R),Resistant (R),Resistant (R),No disease (0),Moderately Resistant (MR)
