,0,1,# of Shots 0,Example Paths 0,Example Categories 0,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 8,Example Paths 8,Example Categories 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39572.jpg,Thrips,rice leaf roller,[],[],Aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/25/21364.jpg""]","[""Potosiabre vitarsis""]",unknown,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/92/65718.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/35253.jpg""]","[""Scirtothrips dorsalis Hood"", ""lytta polita""]",Aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/60/42803.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/70/53707.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/45495.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/6/04277.jpg""]","[""Colomerus vitis"", ""Miridae"", ""Lycorma delicatula"", ""Rice Stemfly""]",Pseudococcus comstocki Kuwana,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/86/63334.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/46/32073.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67839.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/79/60730.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/71/58073.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/69/52360.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/33/25154.jpg""]","[""Dacus dorsalis(Hendel)"", ""Prodenia litura"", ""alfalfa plant bug"", ""Salurnis marginella Guerr"", ""Chrysomphalus aonidum"", ""Trialeurodes vaporariorum"", ""Cicadella viridis"", ""wheat phloeothrips""]"
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64517.jpg,Phyllocnistis citrella Stainton,Phyllocnistis citrella Stainton,[],[],Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/32/24999.jpg""]","[""longlegged spider mite""]",Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/76/59314.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/37/26651.jpg""]","[""Icerya purchasi Maskell"", ""flea beetle""]",Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/81/60996.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/68/50416.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/16/11227.jpg""]","[""Nipaecoccus vastalor"", ""Xylotrechus"", ""Phyllocnistis citrella Stainton"", ""wireworm""]",Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/96/67945.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/23/16337.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23570.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/99/68902.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29743.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/39/27926.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/15/10913.jpg""]","[""Deporaus marginatus Pascoe"", ""Brevipoalpus lewisi McGregor"", ""army worm"", ""bird cherry-oataphid"", ""Rhytidodera bowrinii white"", ""meadow moth"", ""beet army worm"", ""mole cricket""]"
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/28/23168.jpg,green bug,aphids,[],[],aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67542.jpg""]","[""Salurnis marginella Guerr""]",aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/99/68902.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/87/64109.jpg""]","[""Rhytidodera bowrinii white"", ""Adristyrannus""]",aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/27/22989.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29750.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/26/21900.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64517.jpg""]","[""english grain aphid"", ""meadow moth"", ""peach borer"", ""Phyllocnistis citrella Stainton""]",aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/71/57581.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/4/03271.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/92/66257.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/12/07975.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/7/04995.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/53/39007.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/65/43831.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38748.jpg""]","[""Trialeurodes vaporariorum"", ""yellow rice borer"", ""Scirtothrips dorsalis Hood"", ""grain spreader thrips"", ""brown plant hopper"", ""odontothrips loti"", ""parathrene regalis"", ""therioaphis maculata Buckton""]"
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38941.jpg,therioaphis maculata Buckton,aphids,[],[],aphids,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/18/12702.jpg""]","[""black cutworm""]",Toxoptera aurantii,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/63/43361.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38748.jpg""]","[""Polyphagotars onemus latus"", ""therioaphis maculata Buckton""]",Toxoptera citricidus,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/34898.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/30/24243.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/74/58828.jpg""]","[""alfalfa seed chalcid"", ""lytta polita"", ""wheat blossom midge"", ""Panonchus citri McGregor""]",Aphis citricola Vander Goot,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/87/64197.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/5/03461.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/31/24664.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/21/14014.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29653.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/100/69328.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38748.jpg""]","[""Adristyrannus"", ""rice gall midge"", ""penthaleus major"", ""red spider"", ""meadow moth"", ""Sternochetus frigidus"", ""rice shell pest"", ""therioaphis maculata Buckton""]"
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/20/13577.jpg,yellow cutworm,black cutworm,[],[],black cutworm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/68/50780.jpg""]","[""Xylotrechus""]",black cutworm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/36/25952.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01389.jpg""]","[""beet fly"", ""rice leaf caterpillar""]",black cutworm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01641.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58189.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/14/08809.jpg""]","[""flax budworm"", ""paddy stem maggot"", ""Erythroneura apicalis"", ""grub""]",black cutworm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/9/06208.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/27/22648.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65076.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/87/64109.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/27/22989.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08397.jpg""]","[""small brown plant hopper"", ""english grain aphid"", ""alfalfa seed chalcid"", ""flax budworm"", ""Toxoptera aurantii"", ""Adristyrannus"", ""english grain aphid"", ""rice shell pest""]"
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/92/66257.jpg,Scirtothrips dorsalis Hood,rice leaf roller,[],[],grain spreader thrips,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/53/39029.jpg""]","[""odontothrips loti""]",pieris canidia,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/77/59985.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40098.jpg""]","[""Unaspis yanonensis"", ""alfalfa seed chalcid""]",cabbage army worm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64517.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/16/11573.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/60/42835.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/30039.jpg""]","[""Phyllocnistis citrella Stainton"", ""wireworm"", ""Colomerus vitis"", ""beet weevil""]",rice leafhopper,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/33/25154.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/37/26097.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/8/05940.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/26/21900.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/9/06554.jpg""]","[""bird cherry-oataphid"", ""Brevipoalpus lewisi McGregor"", ""rice shell pest"", ""wheat phloeothrips"", ""flea beetle"", ""white backed plant hopper"", ""peach borer"", ""small brown plant hopper""]"
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01389.jpg,rice leaf caterpillar,rice leaf roller,[],[],rice leaf caterpillar,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/36/25952.jpg""]","[""beet fly""]",rice leaf caterpillar,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/40/29261.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66485.jpg""]","[""Beet spot flies"", ""Dasineura sp""]",rice leaf caterpillar,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40098.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/38/26850.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/50/35953.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/5/03618.jpg""]","[""alfalfa seed chalcid"", ""cabbage army worm"", ""legume blister beetle"", ""rice gall midge""]",rice leaf caterpillar,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/22/15875.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/34/25416.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/31/24664.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/78/60522.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58192.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/94/66825.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/87/64040.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/16/11573.jpg""]","[""corn borer"", ""wheat sawfly"", ""penthaleus major"", ""Ceroplastes rubens"", ""Erythroneura apicalis"", ""Lawana imitata Melichar"", ""Adristyrannus"", ""wireworm""]"
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/38/27422.jpg,cabbage army worm,rice leaf roller,[],[],Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/48/34400.jpg""]","[""Locustoidea""]",rice leaf roller,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/31041.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/6/04277.jpg""]","[""flax budworm"", ""Rice Stemfly""]",Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/57/40678.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29653.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/71/58073.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/87/64040.jpg""]","[""Apolygus lucorum"", ""meadow moth"", ""Trialeurodes vaporariorum"", ""Adristyrannus""]",Phyllocnistis citrella Stainton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07094.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/69/52360.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/80/60860.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/06831.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/89/64771.jpg""]","[""rice water weevil"", ""Brevipoalpus lewisi McGregor"", ""Cicadella viridis"", ""Parlatoria zizyphus Lucus"", ""rice water weevil"", ""flax budworm"", ""Dacus dorsalis(Hendel)"", ""Toxoptera citricidus""]"
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/91/65297.jpg,Aphis citricola Vander Goot,aphids,[],[],Aphis citricola Vander Goot,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/60/42817.jpg""]","[""Colomerus vitis""]",Aphis citricola Vander Goot,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67839.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62355.jpg""]","[""Salurnis marginella Guerr"", ""Dacus dorsalis(Hendel)""]",Therioaphis maculata Buckton,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01641.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/21/14014.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg""]","[""paddy stem maggot"", ""red spider"", ""alfalfa seed chalcid"", ""Toxoptera aurantii""]",green bug,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/43/30252.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11942.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/69/51808.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38941.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/44/30540.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01306.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/94/66825.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/63/43400.jpg""]","[""sericaorient alismots chulsky"", ""white margined moth"", ""Cicadella viridis"", ""therioaphis maculata Buckton"", ""alfalfa weevil"", ""rice leaf caterpillar"", ""Lawana imitata Melichar"", ""Polyphagotars onemus latus""]"
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/56/40317.jpg,Pieris canidia,Pieris canidia,[],[],Pieris canidia,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg""]","[""Dacus dorsalis(Hendel)""]",Pieris canidia,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07094.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07219.jpg""]","[""rice water weevil"", ""rice water weevil""]",Pieris canidia,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/48/34400.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/24/19330.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/75/59162.jpg""]","[""Locustoidea"", ""Brevipoalpus lewisi McGregor"", ""aphids"", ""Phyllocoptes oleiverus ashmead""]",Pieris canidia,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/29982.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/48/33697.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/34898.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/34/25416.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/46/32512.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/73567.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/76/59314.jpg""]","[""beet weevil"", ""Locustoidea"", ""Phyllocnistis citrella Stainton"", ""lytta polita"", ""wheat sawfly"", ""alfalfa plant bug"", ""Cicadellidae"", ""Icerya purchasi Maskell""]"
