,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Skin-damaged,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Spotted', 'Skin-damaged', 'Intact', 'Spotted', 'Broken', 'Spotted', 'Intact', 'Broken']",Spotted,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Immature', 'Skin-damaged', 'Broken', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Intact', 'Immature']",Spotted,['data/Soybean Seeds/Spotted/167.jpg'],['Spotted'],Spotted,[],[]
1,data/Soybean Seeds/Intact/836.jpg,Intact,Immature,"['data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Spotted/167.jpg']","['Broken', 'Immature', 'Broken', 'Immature', 'Intact', 'Broken', 'Spotted', 'Spotted']",Intact,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Spotted', 'Immature', 'Immature', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Immature', 'Skin-damaged']",Intact,['data/Soybean Seeds/Skin-damaged/32.jpg'],['Skin-damaged'],Intact,[],[]
2,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Broken,"['data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Immature', 'Spotted', 'Spotted', 'Broken', 'Intact', 'Broken', 'Intact', 'Broken']",Broken,"['data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/828.jpg']","['Immature', 'Spotted', 'Skin-damaged', 'Intact']",Broken,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Skin-damaged', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Spotted/894.jpg'],['Spotted'],Intact,[],[]
3,data/Soybean Seeds/Intact/698.jpg,Intact,NA,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Intact', 'Spotted', 'Intact', 'Broken', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Spotted', 'Immature', 'Intact', 'Immature']",NA,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Skin-damaged', 'Broken']",Intact,['data/Soybean Seeds/Immature/875.jpg'],['Immature'],Skin-damaged,[],[]
4,data/Soybean Seeds/Immature/696.jpg,Immature,Immature,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Broken', 'Spotted', 'Skin-damaged', 'Intact', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Spotted']",Intact,"['data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Intact/1008.jpg']","['Skin-damaged', 'Broken', 'Immature', 'Intact']",Intact,"['data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Skin-damaged', 'Intact']",NA,NA,NA,Intact,[],[]
5,data/Soybean Seeds/Immature/414.jpg,Immature,Immature,"['data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Broken', 'Intact', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Immature', 'Spotted', 'Immature']",Immature,"['data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Immature', 'Spotted', 'Spotted', 'Skin-damaged']",Immature,"['data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Skin-damaged', 'Immature']",Immature,['data/Soybean Seeds/Intact/828.jpg'],['Intact'],Intact,[],[]
6,data/Soybean Seeds/Spotted/112.jpg,Spotted,Spotted,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Intact', 'Broken', 'Immature', 'Intact', 'Broken', 'Broken', 'Broken', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg']","['Intact', 'Spotted', 'Broken', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Skin-damaged', 'Broken']",Skin-damaged,['data/Soybean Seeds/Spotted/167.jpg'],['Spotted'],Spotted,[],[]
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Skin-damaged,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Broken', 'Immature', 'Intact', 'Immature', 'Immature', 'Skin-damaged', 'Skin-damaged', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg']","['Skin-damaged', 'Spotted', 'Broken', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Spotted/167.jpg']","['Spotted', 'Spotted']",Spotted,['data/Soybean Seeds/Spotted/706.jpg'],['Spotted'],Spotted,[],[]
8,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,"['data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Immature', 'Intact', 'Broken', 'Spotted', 'Immature', 'Spotted', 'Intact', 'Spotted']",Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Broken', 'Broken', 'Broken', 'Broken']",Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Broken', 'Immature']",Immature,['data/Soybean Seeds/Spotted/764.jpg'],['Spotted'],Intact,[],[]
9,data/Soybean Seeds/Broken/876.jpg,Broken,Broken,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Broken', 'Immature', 'Immature', 'Immature', 'Intact', 'Immature', 'Skin-damaged', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Intact', 'Broken', 'Skin-damaged', 'Intact']",Broken,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Skin-damaged', 'Intact']",Skin-damaged,['data/Soybean Seeds/Spotted/167.jpg'],['Spotted'],Skin-damaged,[],[]
