,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Spotted,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Intact', 'Skin-damaged', 'Spotted', 'Intact', 'Skin-damaged', 'Intact', 'Spotted', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Skin-damaged', 'Skin-damaged', 'Spotted', 'Broken']",Spotted,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Immature', 'Immature']",Spotted,['data/Soybean Seeds/Skin-damaged/32.jpg'],['Skin-damaged'],Skin-damaged,[],[]
1,data/Soybean Seeds/Intact/836.jpg,Intact,Intact,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Skin-damaged', 'Immature', 'Immature', 'Spotted', 'Broken', 'Broken', 'Immature', 'Broken']",Intact,"['data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Spotted/764.jpg']","['Immature', 'Broken', 'Skin-damaged', 'Spotted']",Intact,"['data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Immature', 'Skin-damaged']",Intact,['data/Soybean Seeds/Skin-damaged/861.jpg'],['Skin-damaged'],Intact,[],[]
2,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Skin-damaged,"['data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Immature', 'Spotted', 'Broken', 'Broken', 'Spotted', 'Spotted', 'Immature', 'Intact']",Immature,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Intact', 'Spotted', 'Broken', 'Skin-damaged']",Immature,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Intact/698.jpg']","['Intact', 'Intact']",Intact,['data/Soybean Seeds/Spotted/528.jpg'],['Spotted'],Intact,[],[]
3,data/Soybean Seeds/Intact/698.jpg,Intact,NA,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Skin-damaged', 'Broken', 'Spotted', 'Broken', 'Skin-damaged', 'Broken', 'Intact', 'Immature']",NA,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Intact', 'Spotted', 'Spotted', 'Immature']",NA,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Skin-damaged', 'Spotted']",Spotted,['data/Soybean Seeds/Skin-damaged/32.jpg'],['Skin-damaged'],Spotted,[],[]
4,data/Soybean Seeds/Immature/696.jpg,Immature,Intact,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Broken', 'Immature', 'Intact', 'Spotted', 'Spotted', 'Skin-damaged', 'Immature', 'Intact']",Intact,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Intact', 'Skin-damaged', 'Immature', 'Immature']",Spotted,"['data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Immature', 'Intact']",Intact,['data/Soybean Seeds/Skin-damaged/999.jpg'],['Skin-damaged'],Intact,[],[]
5,data/Soybean Seeds/Immature/414.jpg,Immature,Immature,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg']","['Intact', 'Immature', 'Broken', 'Broken', 'Skin-damaged', 'Intact', 'Intact', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/960.jpg']","['Intact', 'Skin-damaged', 'Intact', 'Broken']",Intact,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Broken', 'Skin-damaged']",Immature,['data/Soybean Seeds/Immature/875.jpg'],['Immature'],Spotted,[],[]
6,data/Soybean Seeds/Spotted/112.jpg,Spotted,Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Spotted/167.jpg']","['Broken', 'Spotted', 'Immature', 'Broken', 'Immature', 'Immature', 'Skin-damaged', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Spotted/764.jpg']","['Broken', 'Broken', 'Intact', 'Spotted']",Broken,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/528.jpg']","['Broken', 'Spotted']",Spotted,['data/Soybean Seeds/Skin-damaged/861.jpg'],['Skin-damaged'],Spotted,[],[]
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Immature,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Broken', 'Skin-damaged', 'Spotted', 'Intact', 'Spotted', 'Skin-damaged', 'Intact', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Skin-damaged', 'Skin-damaged', 'Spotted', 'Broken']",Spotted,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Intact', 'Immature']",Spotted,['data/Soybean Seeds/Skin-damaged/568.jpg'],['Skin-damaged'],Spotted,[],[]
8,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Spotted', 'Spotted', 'Skin-damaged', 'Broken', 'Broken', 'Immature', 'Skin-damaged', 'Immature']",Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/414.jpg']","['Broken', 'Broken', 'Immature', 'Immature']",Intact,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Spotted', 'Intact']",Intact,['data/Soybean Seeds/Spotted/764.jpg'],['Spotted'],Intact,[],[]
9,data/Soybean Seeds/Broken/876.jpg,Broken,Broken,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Spotted', 'Skin-damaged', 'Broken', 'Skin-damaged', 'Spotted', 'Immature', 'Intact', 'Spotted']",Broken,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Immature/696.jpg']","['Spotted', 'Intact', 'Immature', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Spotted/894.jpg']","['Immature', 'Spotted']",Broken,['data/Soybean Seeds/Broken/333.jpg'],['Broken'],Immature,[],[]
