,0,1,# of Shots 0,Example Paths 0,Example Categories 0,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 8,Example Paths 8,Example Categories 8
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Broken/333.jpg'],['Broken'],Broken,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Broken', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Skin-damaged', 'Intact', 'Spotted', 'Broken']",Spotted,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Broken', 'Intact', 'Intact', 'Spotted', 'Spotted', 'Immature', 'Skin-damaged', 'Immature']"
1,data/Soybean Seeds/Intact/836.jpg,Intact,Spotted,[],[],Spotted,['data/Soybean Seeds/Broken/138.jpg'],['Broken'],Spotted,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Broken', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Immature', 'Skin-damaged', 'Spotted', 'Broken']",Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Broken', 'Broken', 'Intact', 'Immature', 'Intact', 'Intact', 'Skin-damaged', 'Skin-damaged']"
2,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Broken,[],[],Broken,['data/Soybean Seeds/Skin-damaged/32.jpg'],['Skin-damaged'],Broken,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/414.jpg']","['Broken', 'Immature']",Broken,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Broken/960.jpg']","['Broken', 'Skin-damaged', 'Spotted', 'Broken']",Broken,"['data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/167.jpg']","['Spotted', 'Immature', 'Immature', 'Intact', 'Intact', 'Broken', 'Intact', 'Spotted']"
3,data/Soybean Seeds/Intact/698.jpg,Intact,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Spotted/167.jpg'],['Spotted'],Skin-damaged,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg']","['Broken', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Broken', 'Spotted', 'Intact', 'Skin-damaged']",Immature,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Spotted', 'Spotted', 'Immature', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Spotted', 'Broken']"
4,data/Soybean Seeds/Immature/696.jpg,Immature,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Broken/333.jpg'],['Broken'],Skin-damaged,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Broken', 'Broken']",Spotted,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Broken', 'Skin-damaged', 'Immature', 'Immature']",Spotted,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Skin-damaged', 'Spotted', 'Spotted', 'Skin-damaged', 'Intact', 'Broken', 'Intact', 'Skin-damaged']"
5,data/Soybean Seeds/Immature/414.jpg,Immature,Spotted,[],[],Intact,['data/Soybean Seeds/Intact/698.jpg'],['Intact'],Intact,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/696.jpg']","['Intact', 'Immature']",Immature,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Skin-damaged', 'Spotted', 'Immature', 'Intact']",Intact,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Intact', 'Intact', 'Spotted', 'Spotted', 'Spotted', 'Intact', 'Intact', 'Broken']"
6,data/Soybean Seeds/Spotted/112.jpg,Spotted,Spotted,[],[],Broken,['data/Soybean Seeds/Broken/876.jpg'],['Broken'],Spotted,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Immature', 'Immature']",Spotted,"['data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Spotted/764.jpg']","['Skin-damaged', 'Immature', 'Spotted', 'Spotted']",Spotted,"['data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Spotted', 'Immature', 'Spotted', 'Immature', 'Skin-damaged', 'Spotted', 'Intact', 'Broken']"
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Skin-damaged,[],[],Spotted,['data/Soybean Seeds/Skin-damaged/568.jpg'],['Skin-damaged'],Spotted,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg']","['Immature', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/836.jpg']","['Broken', 'Immature', 'Skin-damaged', 'Intact']",Spotted,"['data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Skin-damaged', 'Spotted', 'Intact', 'Immature', 'Skin-damaged', 'Broken', 'Broken', 'Spotted']"
8,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,[],[],Intact,['data/Soybean Seeds/Broken/876.jpg'],['Broken'],Intact,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/894.jpg']","['Skin-damaged', 'Spotted']",Intact,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Broken', 'Immature', 'Broken', 'Immature']",Intact,"['data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Immature/414.jpg']","['Immature', 'Spotted', 'Skin-damaged', 'Broken', 'Skin-damaged', 'Spotted', 'Intact', 'Immature']"
9,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,[],[],Spotted,['data/Soybean Seeds/Skin-damaged/32.jpg'],['Skin-damaged'],Skin-damaged,"['data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Skin-damaged', 'Skin-damaged']",Skin-damaged,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Broken', 'Skin-damaged', 'Skin-damaged', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Immature', 'Immature', 'Skin-damaged', 'Skin-damaged', 'Intact', 'Intact', 'Spotted', 'Broken']"
