,0,1,hierarchy,Embedding Example Paths kingdom 1,Embedding Example Categories kingdom 1,Random Example Paths kingdom 1,Random Example Categories kingdom 1,Embedding Example Paths phylum 1,Embedding Example Categories phylum 1,Random Example Paths phylum 1,Random Example Categories phylum 1,Embedding Example Paths class 1,Embedding Example Categories class 1,Random Example Paths class 1,Random Example Categories class 1,Embedding kingdom 1,Random Example Paths order 1,Random Example Categories order 1,Embedding Example Paths order 1,Embedding Example Categories order 1,Embedding Example Paths family 1,Embedding Example Categories family 1,Random Example Paths family 1,Random Example Categories family 1,Embedding phylum 1,Random kingdom 1,Random phylum 1,Random Example Paths genus 1,Random Example Categories genus 1,Embedding Example Paths genus 1,Embedding Example Categories genus 1,Random Example Paths species 1,Random Example Categories species 1,Embedding Example Paths species 1,Embedding Example Categories species 1,Embedding class 1,Embedding order 1,Embedding family 1,Embedding genus 1,Embedding species 1,Random class 1,Random order 1,Random family 1,Random genus 1,Random species 1
0,./biotrove-data/images/302012122.jpg,Anthracothorax viridigula,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Caprimulgiformes', 'family': 'Trochilidae', 'genus': 'Anthracothorax', 'species': 'viridigula'}",['./biotrove-data/images/302012122.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/302012122.jpg'],['Chordata'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/302012122.jpg'],['Aves'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/302012122.jpg'],['Caprimulgiformes'],['./biotrove-data/images/302012122.jpg'],['Trochilidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Chordata,Animalia,Chordata,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/346937659.jpg'],['Antrostomus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],[],[],Aves,Caprimulgiformes,Caprimulgidae,Anthracothorax,melindae,Aves,Caprimulgiformes,Trochilidae,Aethopyga,melindae
1,./biotrove-data/images/59540019.jpg,Actenoides hombroni,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Coraciiformes', 'family': 'Alcedinidae', 'genus': 'Actenoides', 'species': 'hombroni'}",['./biotrove-data/images/59540019.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/59540019.jpg'],['Chordata'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/59540019.jpg'],['Aves'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/59540019.jpg'],['Coraciiformes'],['./biotrove-data/images/59540019.jpg'],['Alcedinidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Chordata,Animalia,Chordata,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/59540019.jpg'],['Actenoides'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/59540019.jpg'],['hombroni'],Aves,Coraciiformes,Alcedinidae,Actenoides,hombroni,Aves,Coraciiformes,Alcedinidae,Actenoides,bimaculata
2,./biotrove-data/images/40800907.jpg,Austrothurgus rubricatus,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Megachilidae', 'genus': 'Austrothurgus', 'species': 'rubricatus'}",['./biotrove-data/images/40800907.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/40800907.jpg'],['Arthropoda'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/40800907.jpg'],['Insecta'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/40800907.jpg'],['Hymenoptera'],['./biotrove-data/images/40800907.jpg'],['Megachilidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Arthropoda,Animalia,Arthropoda,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/297042478.jpg'],['Bombus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],[],[],Insecta,Hymenoptera,Apidae,Andrena,melindae,Insecta,Hymenoptera,Apidae,Andrena,bimaculata
3,./biotrove-data/images/413736.jpg,Antrostomus noctitherus,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Caprimulgiformes', 'family': 'Caprimulgidae', 'genus': 'Antrostomus', 'species': 'noctitherus'}",['./biotrove-data/images/413736.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/413736.jpg'],['Chordata'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/413736.jpg'],['Aves'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/413736.jpg'],['Caprimulgiformes'],['./biotrove-data/images/413736.jpg'],['Caprimulgidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Chordata,Animalia,Chordata,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/413736.jpg'],['Antrostomus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/413736.jpg'],['noctitherus'],Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,noctitherus,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,notata
4,./biotrove-data/images/173077875.jpg,Anthus melindae,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Passeriformes', 'family': 'Motacillidae', 'genus': 'Anthus', 'species': 'melindae'}",['./biotrove-data/images/173077875.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/173077875.jpg'],['Chordata'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/173077875.jpg'],['Aves'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/173077875.jpg'],['Passeriformes'],['./biotrove-data/images/173077875.jpg'],['Motacillidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Chordata,Animalia,Chordata,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/173077875.jpg'],['Anthus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/173077875.jpg'],['melindae'],Aves,Passeriformes,Motacillidae,Anthus,melindae,Aves,Passeriformes,Motacillidae,Anthus,mendax
5,./biotrove-data/images/103421462.jpg,Agathis macrophylla,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Pinopsida', 'order': 'Pinales', 'family': 'Araucariaceae', 'genus': 'Agathis', 'species': 'macrophylla'}",['./biotrove-data/images/103421462.jpg'],['Plantae'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/103421462.jpg'],['Tracheophyta'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/103421462.jpg'],['Pinopsida'],['./biotrove-data/images/95242224.jpg'],['Aves'],Plantae,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/103421462.jpg'],['Pinales'],['./biotrove-data/images/103421462.jpg'],['Araucariaceae'],,,Tracheophyta,Plantae,Tracheophyta,,,['./biotrove-data/images/134019735.jpg'],['Abies'],,,[],[],Pinopsida,Pinales,Pinaceae,Agathis,compacta,Pinopsida,NA,,,
6,./biotrove-data/images/190940889.jpg,Antanartia delius,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Nymphalidae', 'genus': 'Antanartia', 'species': 'delius'}",['./biotrove-data/images/190940889.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/190940889.jpg'],['Arthropoda'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/190940889.jpg'],['Insecta'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/190940889.jpg'],['Lepidoptera'],['./biotrove-data/images/190940889.jpg'],['Nymphalidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Arthropoda,Animalia,Arthropoda,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/190940889.jpg'],['Antanartia'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/190940889.jpg'],['delius'],Insecta,Lepidoptera,Nymphalidae,Antanartia,delius,Insecta,Lepidoptera,Nymphalidae,Appias,galba
7,./biotrove-data/images/297042478.jpg,Bombus mendax,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Apidae', 'genus': 'Bombus', 'species': 'mendax'}",['./biotrove-data/images/297042478.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/297042478.jpg'],['Arthropoda'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/297042478.jpg'],['Insecta'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/297042478.jpg'],['Hymenoptera'],['./biotrove-data/images/297042478.jpg'],['Apidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Arthropoda,Animalia,Arthropoda,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/297042478.jpg'],['Bombus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/297042478.jpg'],['mendax'],Insecta,Hymenoptera,Apidae,Bombus,mendax,Insecta,Hymenoptera,Apidae,Bombus,melindae
8,./biotrove-data/images/121765136.jpg,Anthemis macrotis,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Asterales', 'family': 'Asteraceae', 'genus': 'Anthemis', 'species': 'macrotis'}",['./biotrove-data/images/121765136.jpg'],['Plantae'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/121765136.jpg'],['Tracheophyta'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/121765136.jpg'],['Magnoliopsida'],['./biotrove-data/images/95242224.jpg'],['Aves'],Plantae,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/121765136.jpg'],['Asterales'],['./biotrove-data/images/121765136.jpg'],['Asteraceae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Tracheophyta,Plantae,Tracheophyta,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/121765136.jpg'],['Anthemis'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/121765136.jpg'],['macrotis'],Magnoliopsida,Asterales,Asteraceae,Anthemis,macrotis,Magnoliopsida,Asterales,Asteraceae,Anthemis,mediovittata
9,./biotrove-data/images/105672696.jpg,Antrostomus sericocaudatus,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Caprimulgiformes', 'family': 'Caprimulgidae', 'genus': 'Antrostomus', 'species': 'sericocaudatus'}",['./biotrove-data/images/105672696.jpg'],['Animalia'],['./biotrove-data/images/95242224.jpg'],['Animalia'],['./biotrove-data/images/105672696.jpg'],['Chordata'],['./biotrove-data/images/95242224.jpg'],['Chordata'],['./biotrove-data/images/105672696.jpg'],['Aves'],['./biotrove-data/images/95242224.jpg'],['Aves'],Animalia,['./biotrove-data/images/95242224.jpg'],['Passeriformes'],['./biotrove-data/images/105672696.jpg'],['Caprimulgiformes'],['./biotrove-data/images/105672696.jpg'],['Caprimulgidae'],['./biotrove-data/images/95242224.jpg'],['Pycnonotidae'],Chordata,Animalia,Chordata,['./biotrove-data/images/95242224.jpg'],['Arizelocichla'],['./biotrove-data/images/105672696.jpg'],['Antrostomus'],['./biotrove-data/images/95242224.jpg'],['masukuensis'],['./biotrove-data/images/105672696.jpg'],['sericocaudatus'],Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,sericocaudatus,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,burkittii
