,0,1,hierarchy,evaluated,Embedding Example Paths kingdom 1,Embedding Example Categories kingdom 1,Random Example Paths kingdom 1,Random Example Categories kingdom 1,Embedding Example Paths phylum 1,Embedding Example Categories phylum 1,Random Example Paths phylum 1,Random Example Categories phylum 1,Random Example Paths class 1,Random Example Categories class 1,Embedding Example Paths class 1,Embedding Example Categories class 1,Random Example Paths order 1,Random Example Categories order 1,Embedding Example Paths order 1,Embedding Example Categories order 1,Embedding Example Paths family 1,Embedding Example Categories family 1,Random Example Paths family 1,Random Example Categories family 1,Embedding Example Paths genus 1,Embedding Example Categories genus 1,Random Example Paths genus 1,Random Example Categories genus 1,Embedding Example Paths species 1,Embedding Example Categories species 1,Random Example Paths species 1,Random Example Categories species 1,Embedding kingdom 1,Embedding phylum 1,Embedding class 1,Embedding order 1,Embedding family 1,Embedding genus 1,Embedding species 1,Random kingdom 1,Random phylum 1,Random class 1,Random order 1,Random family 1,Random genus 1,Random species 1
0,./biotrove-data/images/57819489.jpg,Acrocephalus rodericanus,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Passeriformes', 'family': 'Acrocephalidae', 'genus': 'Acrocephalus', 'species': 'rodericanus'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,./biotrove-data/images/134019735.jpg,Abies numidica,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Pinopsida', 'order': 'Pinales', 'family': 'Pinaceae', 'genus': 'Abies', 'species': 'numidica'}",True,['./biotrove-data/images/134019735.jpg'],['Plantae'],['./biotrove-data/images/228330633.jpg'],['Plantae'],['./biotrove-data/images/134019735.jpg'],['Tracheophyta'],['./biotrove-data/images/228330633.jpg'],['Tracheophyta'],['./biotrove-data/images/228330633.jpg'],['Magnoliopsida'],['./biotrove-data/images/134019735.jpg'],['Pinopsida'],['./biotrove-data/images/228330633.jpg'],['Fabales'],['./biotrove-data/images/134019735.jpg'],['Pinales'],['./biotrove-data/images/134019735.jpg'],['Pinaceae'],['./biotrove-data/images/228330633.jpg'],['Fabaceae'],['./biotrove-data/images/134019735.jpg'],['Abies'],['./biotrove-data/images/228330633.jpg'],['Acacia'],['./biotrove-data/images/134019735.jpg'],['numidica'],['./biotrove-data/images/228330633.jpg'],['burkittii'],Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,numidica,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,hammondii
2,./biotrove-data/images/230834725.jpg,Acacia gracilifolia,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'gracilifolia'}",True,['./biotrove-data/images/230834725.jpg'],['Plantae'],['./biotrove-data/images/228330633.jpg'],['Plantae'],['./biotrove-data/images/230834725.jpg'],['Tracheophyta'],['./biotrove-data/images/228330633.jpg'],['Tracheophyta'],['./biotrove-data/images/228330633.jpg'],['Magnoliopsida'],['./biotrove-data/images/230834725.jpg'],['Magnoliopsida'],['./biotrove-data/images/228330633.jpg'],['Fabales'],['./biotrove-data/images/230834725.jpg'],['Fabales'],['./biotrove-data/images/230834725.jpg'],['Fabaceae'],['./biotrove-data/images/228330633.jpg'],['Fabaceae'],['./biotrove-data/images/230834725.jpg'],['Acacia'],['./biotrove-data/images/228330633.jpg'],['Acacia'],['./biotrove-data/images/230834725.jpg'],['gracilifolia'],['./biotrove-data/images/228330633.jpg'],['burkittii'],Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,gracilifolia,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Acacia,gracilifolia
3,./biotrove-data/images/94135725.jpg,Abies numidica,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Pinopsida', 'order': 'Pinales', 'family': 'Pinaceae', 'genus': 'Abies', 'species': 'numidica'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,./biotrove-data/images/198578884.jpg,Acacia hammondii,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'hammondii'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,./biotrove-data/images/320088566.jpg,Acacia burkittii,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'burkittii'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,./biotrove-data/images/217621846.jpg,Acrocephalus rodericanus,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Passeriformes', 'family': 'Acrocephalidae', 'genus': 'Acrocephalus', 'species': 'rodericanus'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,./biotrove-data/images/315607161.jpg,Acacia gracilifolia,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'gracilifolia'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,./biotrove-data/images/228330633.jpg,Acacia burkittii,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'burkittii'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,./biotrove-data/images/239960351.jpg,Acacia hammondii,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'hammondii'}",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
