,0,1,hierarchy,Embedding Example Paths kingdom 1,Embedding Example Categories kingdom 1,Random Example Paths kingdom 1,Random Example Categories kingdom 1,Embedding Example Paths phylum 1,Embedding Example Categories phylum 1,Random Example Paths phylum 1,Random Example Categories phylum 1,Random Example Paths class 1,Random Example Categories class 1,Embedding Example Paths class 1,Embedding Example Categories class 1,Random Example Paths order 1,Random Example Categories order 1,Embedding Example Paths order 1,Embedding Example Categories order 1,Random Example Paths family 1,Random Example Categories family 1,Embedding Example Paths family 1,Embedding Example Categories family 1,Random Example Paths genus 1,Random Example Categories genus 1,Embedding Example Paths genus 1,Embedding Example Categories genus 1,Random Example Paths species 1,Random Example Categories species 1,Random kingdom 1,Random phylum 1,Random class 1,Random order 1,Embedding Example Paths species 1,Embedding Example Categories species 1,Random family 1,Random genus 1,Random species 1,Embedding kingdom 1,Embedding phylum 1,Embedding class 1,Embedding order 1,Embedding family 1,Embedding genus 1,Embedding species 1
0,./biotrove-data/images/83466471.jpg,Acronicta cyanescens,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Noctuidae', 'genus': 'Acronicta', 'species': 'cyanescens'}",['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Lepidoptera,['./biotrove-data/images/83466471.jpg'],['cyanescens'],Noctuidae,Acronicta,cyanescens,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,cyanescens
1,./biotrove-data/images/304471128.jpg,Bathanthidium sibiricum,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Megachilidae', 'genus': 'Bathanthidium', 'species': 'sibiricum'}",['./biotrove-data/images/304471128.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/304471128.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/304471128.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/304471128.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/304471128.jpg'],['Megachilidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/277545058.jpg'],['Andrena'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/277545058.jpg'],['bimaculata'],Andrenidae,Andrena,bimaculata,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,galba
2,./biotrove-data/images/286832748.jpg,Appias lalassis,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Pieridae', 'genus': 'Appias', 'species': 'lalassis'}",['./biotrove-data/images/286832748.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/286832748.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/286832748.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/286832748.jpg'],['Lepidoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/286832748.jpg'],['Pieridae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/281201817.jpg'],['Aeromachus'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Lepidoptera,['./biotrove-data/images/242883216.jpg'],['linda'],Noctuidae,Autoplusia,bimaculata,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Amblyscirtes,dubius
3,./biotrove-data/images/281201817.jpg,Aeromachus dubius,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Hesperiidae', 'genus': 'Aeromachus', 'species': 'dubius'}",['./biotrove-data/images/281201817.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/281201817.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/281201817.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/281201817.jpg'],['Lepidoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/281201817.jpg'],['Hesperiidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/281201817.jpg'],['Aeromachus'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Lepidoptera,['./biotrove-data/images/242883216.jpg'],['linda'],Hesperiidae,Aeromachus,galba,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Amblyscirtes,galba
4,./biotrove-data/images/153107310.jpg,Bombus mendax,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Apidae', 'genus': 'Bombus', 'species': 'mendax'}",['./biotrove-data/images/153107310.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/153107310.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/153107310.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/153107310.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/153107310.jpg'],['Apidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/153107310.jpg'],['Bombus'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/153107310.jpg'],['mendax'],Apidae,Bombus,johnsoni,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,mendax
5,./biotrove-data/images/257712279.jpg,Andrena mediovittata,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Andrenidae', 'genus': 'Andrena', 'species': 'mediovittata'}",['./biotrove-data/images/257712279.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/257712279.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/257712279.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/257712279.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/257712279.jpg'],['Andrenidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/257712279.jpg'],['Andrena'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/257712279.jpg'],['mediovittata'],Andrenidae,Andrena,bimaculata,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,mediovittata
6,./biotrove-data/images/182670641.jpg,Camponotus johnsoni,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Formicidae', 'genus': 'Camponotus', 'species': 'johnsoni'}",['./biotrove-data/images/182670641.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/182670641.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/182670641.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/182670641.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/182670641.jpg'],['Formicidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/182670641.jpg'],['Camponotus'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/182670641.jpg'],['johnsoni'],Formicidae,Camponotus,bimaculata,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,bimaculata
7,./biotrove-data/images/40800907.jpg,Austrothurgus rubricatus,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Megachilidae', 'genus': 'Austrothurgus', 'species': 'rubricatus'}",['./biotrove-data/images/40800907.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/40800907.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/40800907.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/40800907.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/40800907.jpg'],['Megachilidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/40800907.jpg'],['Austrothurgus'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/304471128.jpg'],['sibiricum'],Megachilidae,Bathanthidium,mediovittata,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Bathanthidium,johnsoni
8,./biotrove-data/images/39657261.jpg,Amelora synclera,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Geometridae', 'genus': 'Amelora', 'species': 'synclera'}",['./biotrove-data/images/39657261.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/39657261.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/39657261.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/39657261.jpg'],['Lepidoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/39657261.jpg'],['Geometridae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/39657261.jpg'],['Amelora'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Lepidoptera,['./biotrove-data/images/39657261.jpg'],['synclera'],Geometridae,Amelora,mendax,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Amelora,johnsoni
9,./biotrove-data/images/277545058.jpg,Andrena bimaculata,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Hymenoptera', 'family': 'Andrenidae', 'genus': 'Andrena', 'species': 'bimaculata'}",['./biotrove-data/images/277545058.jpg'],['Animalia'],['./biotrove-data/images/83466471.jpg'],['Animalia'],['./biotrove-data/images/277545058.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Arthropoda'],['./biotrove-data/images/83466471.jpg'],['Insecta'],['./biotrove-data/images/277545058.jpg'],['Insecta'],['./biotrove-data/images/83466471.jpg'],['Lepidoptera'],['./biotrove-data/images/277545058.jpg'],['Hymenoptera'],['./biotrove-data/images/83466471.jpg'],['Noctuidae'],['./biotrove-data/images/277545058.jpg'],['Andrenidae'],['./biotrove-data/images/83466471.jpg'],['Acronicta'],['./biotrove-data/images/277545058.jpg'],['Andrena'],['./biotrove-data/images/83466471.jpg'],['cyanescens'],Animalia,Arthropoda,Insecta,Hymenoptera,['./biotrove-data/images/277545058.jpg'],['bimaculata'],Andrenidae,Andrena,bimaculata,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,bimaculata
