,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Spotted,"['data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Broken', 'Skin-damaged', 'Immature', 'Immature', 'Spotted', 'Intact', 'Immature', 'Broken']",Spotted,"['data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/894.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Spotted']",Spotted,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/875.jpg']","['Broken', 'Immature']",Spotted,['data/Soybean Seeds/Broken/939.jpg'],['Broken'],Spotted,[],[]
1,data/Soybean Seeds/Intact/836.jpg,Intact,Intact,"['data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/960.jpg']","['Spotted', 'Intact', 'Skin-damaged', 'Spotted', 'Immature', 'Skin-damaged', 'Intact', 'Broken']",Intact,"['data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Immature', 'Intact', 'Skin-damaged', 'Broken']",Intact,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Intact/698.jpg']","['Spotted', 'Intact']",Spotted,['data/Soybean Seeds/Intact/403.jpg'],['Intact'],Intact,[],[]
2,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Broken,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Immature', 'Spotted', 'Broken', 'Immature', 'Immature', 'Spotted', 'Broken', 'Intact']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/836.jpg']","['Skin-damaged', 'Broken', 'Skin-damaged', 'Intact']",Broken,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg']","['Broken', 'Skin-damaged']",Broken,['data/Soybean Seeds/Broken/333.jpg'],['Broken'],Broken,[],[]
3,data/Soybean Seeds/Intact/698.jpg,Intact,Skin-damaged,"['data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Immature/696.jpg']","['Intact', 'Broken', 'Broken', 'Skin-damaged', 'Spotted', 'Intact', 'Spotted', 'Immature']",Intact,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Immature/741.jpg']","['Skin-damaged', 'Broken', 'Immature', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/528.jpg']","['Skin-damaged', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Intact/828.jpg'],['Intact'],Broken,[],[]
4,data/Soybean Seeds/Immature/696.jpg,Immature,Intact,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Spotted/528.jpg']","['Broken', 'Spotted', 'Intact', 'Intact', 'Spotted', 'Skin-damaged', 'Broken', 'Spotted']",Intact,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Skin-damaged', 'Intact', 'Immature', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Broken', 'Intact']",Intact,['data/Soybean Seeds/Skin-damaged/973.jpg'],['Skin-damaged'],Intact,[],[]
5,data/Soybean Seeds/Immature/414.jpg,Immature,Intact,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Intact', 'Intact', 'Immature', 'Immature', 'Intact', 'Intact', 'Skin-damaged', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/741.jpg']","['Spotted', 'Spotted', 'Intact', 'Immature']",Immature,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Intact/1008.jpg']","['Broken', 'Intact']",Immature,['data/Soybean Seeds/Skin-damaged/999.jpg'],['Skin-damaged'],Spotted,[],[]
6,data/Soybean Seeds/Spotted/112.jpg,Spotted,Spotted,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Broken', 'Broken', 'Spotted', 'Spotted', 'Skin-damaged', 'Intact', 'Spotted', 'Intact']",Spotted,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Broken', 'Intact', 'Immature', 'Intact']",Spotted,"['data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Spotted', 'Skin-damaged']",Spotted,['data/Soybean Seeds/Immature/696.jpg'],['Immature'],Spotted,[],[]
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Spotted,"['data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Intact', 'Intact', 'Broken', 'Skin-damaged', 'Spotted', 'Broken', 'Immature', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Intact', 'Skin-damaged', 'Broken', 'Broken']",Spotted,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Intact', 'Intact']",Spotted,['data/Soybean Seeds/Skin-damaged/414.jpg'],['Skin-damaged'],Spotted,[],[]
8,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Skin-damaged', 'Intact', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Immature', 'Spotted', 'Broken']",Intact,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Skin-damaged', 'Intact', 'Broken', 'Broken']",Intact,"['data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Broken/960.jpg']","['Skin-damaged', 'Broken']",Intact,['data/Soybean Seeds/Immature/741.jpg'],['Immature'],Intact,[],[]
9,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Spotted', 'Skin-damaged', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Immature/741.jpg']","['Intact', 'Intact', 'Intact', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Broken', 'Skin-damaged']",Skin-damaged,['data/Soybean Seeds/Spotted/112.jpg'],['Spotted'],Skin-damaged,[],[]
10,data/Soybean Seeds/Broken/138.jpg,Broken,Skin-damaged,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Broken', 'Spotted', 'Broken', 'Skin-damaged', 'Spotted', 'Broken', 'Broken', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Skin-damaged', 'Intact', 'Intact', 'Skin-damaged']",Skin-damaged,"['data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Intact', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Spotted/764.jpg'],['Spotted'],Skin-damaged,[],[]
11,data/Soybean Seeds/Intact/699.jpg,Intact,Intact,"['data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Intact', 'Immature', 'Spotted', 'Skin-damaged', 'Broken', 'Spotted', 'Immature', 'Broken']",Intact,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Skin-damaged', 'Broken', 'Broken', 'Broken']",Intact,"['data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Immature', 'Spotted']",Intact,['data/Soybean Seeds/Broken/939.jpg'],['Broken'],Spotted,[],[]
12,data/Soybean Seeds/Broken/939.jpg,Broken,Broken,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Skin-damaged', 'Intact', 'Skin-damaged', 'Intact', 'Immature', 'Immature', 'Spotted', 'Skin-damaged']",Broken,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/741.jpg']","['Spotted', 'Skin-damaged', 'Skin-damaged', 'Immature']",Broken,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg']","['Intact', 'Skin-damaged']",Broken,['data/Soybean Seeds/Skin-damaged/999.jpg'],['Skin-damaged'],Broken,[],[]
13,data/Soybean Seeds/Intact/828.jpg,Intact,Immature,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/167.jpg']","['Intact', 'Immature', 'Broken', 'Skin-damaged', 'Spotted', 'Intact', 'Intact', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Broken', 'Skin-damaged', 'Spotted', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Broken', 'Broken']",Skin-damaged,['data/Soybean Seeds/Skin-damaged/414.jpg'],['Skin-damaged'],Skin-damaged,[],[]
