,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/deepweeds/images/20170728-152004-1.jpg,Prickly acacia,Negative,"['data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg']","['Parthenium', 'Siam weed', 'Negative', 'Prickly acacia', 'Snake weed', 'Parthenium', 'Lantana', 'Negative']",Negative,"['data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Snake weed', 'Siam weed', 'Parthenium', 'Parthenium']",Negative,"['data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170714-140705-1.jpg']","['Chinee apple', 'Lantana']",Negative,['data/deepweeds/images/20170727-164330-1.jpg'],['Prickly acacia'],Parthenium,[],[]
1,data/deepweeds/images/20170210-142422-0.jpg,Snake weed,Chinee apple,"['data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg']","['Parkinsonia', 'Parkinsonia', 'Chinee apple', 'Prickly acacia', 'Parkinsonia', 'Chinee apple', 'Parthenium', 'Prickly acacia']",Parthenium,"['data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170715-174216-1.jpg']","['Parkinsonia', 'Negative', 'Rubber vine', 'Lantana']",Negative,"['data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20171102-123535-3.jpg']","['Parthenium', 'Parkinsonia']",Parthenium,['data/deepweeds/images/20170906-095420-4.jpg'],['Parthenium'],Siam weed,[],[]
2,data/deepweeds/images/20170920-130439-2.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171025-082133-3.jpg']","['Parkinsonia', 'Lantana', 'Prickly acacia', 'Siam weed', 'Chinee apple', 'Rubber vine', 'Rubber vine', 'Parthenium']",Parkinsonia,"['data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg']","['Prickly acacia', 'Lantana', 'Chinee apple', 'Parkinsonia']",Parthenium,"['data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20180112-072356-2.jpg']","['Prickly acacia', 'Negative']",Prickly acacia,['data/deepweeds/images/20170728-152004-1.jpg'],['Prickly acacia'],Siam weed,[],[]
3,data/deepweeds/images/20170714-120648-3.jpg,Lantana,Siam weed,"['data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Negative', 'Parthenium', 'Lantana', 'Rubber vine', 'Snake weed', 'Chinee apple', 'Snake weed', 'Snake weed']",Parthenium,"['data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20171102-120816-1.jpg']","['Siam weed', 'Chinee apple', 'Rubber vine', 'Parkinsonia']",Parkinsonia,"['data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg']","['Rubber vine', 'Parkinsonia']",Lantana,['data/deepweeds/images/20170811-162102-1.jpg'],['Chinee apple'],Parthenium,[],[]
4,data/deepweeds/images/20170920-172144-1.jpg,Parkinsonia,Snake weed,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg']","['Chinee apple', 'Parthenium', 'Lantana', 'Rubber vine', 'Siam weed', 'Rubber vine', 'Chinee apple', 'Prickly acacia']",Snake weed,"['data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20171025-082133-3.jpg']","['Lantana', 'Snake weed', 'Snake weed', 'Parthenium']",Snake weed,"['data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20180109-080158-1.jpg']","['Parthenium', 'Negative']",Siam weed,['data/deepweeds/images/20171121-084910-1.jpg'],['Siam weed'],Parthenium,[],[]
5,data/deepweeds/images/20171109-091335-3.jpg,Rubber vine,Lantana,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20171113-132754-3.jpg']","['Lantana', 'Rubber vine', 'Lantana', 'Parkinsonia', 'Parthenium', 'Parkinsonia', 'Rubber vine', 'Siam weed']",Negative,"['data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Lantana', 'Siam weed', 'Lantana', 'Rubber vine']",Lantana,"['data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170706-130402-3.jpg']","['Siam weed', 'Lantana']",Parthenium,['data/deepweeds/images/20170811-162102-1.jpg'],['Chinee apple'],Siam weed,[],[]
6,data/deepweeds/images/20170729-092929-2.jpg,Prickly acacia,Negative,"['data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20170304-124640-0.jpg']","['Parkinsonia', 'Negative', 'Siam weed', 'Negative', 'Rubber vine', 'Negative', 'Lantana', 'Chinee apple']",Negative,"['data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Snake weed', 'Prickly acacia', 'Negative', 'Parthenium']",Snake weed,"['data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170718-132237-2.jpg']","['Negative', 'Snake weed']",Negative,['data/deepweeds/images/20170811-130004-1.jpg'],['Chinee apple'],Negative,[],[]
7,data/deepweeds/images/20170630-154442-0.jpg,Snake weed,Lantana,"['data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20170714-110205-1.jpg']","['Siam weed', 'Negative', 'Parthenium', 'Prickly acacia', 'Siam weed', 'Siam weed', 'Parthenium', 'Lantana']",Parkinsonia,"['data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20171109-091107-1.jpg']","['Lantana', 'Siam weed', 'Siam weed', 'Rubber vine']",Lantana,"['data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20170714-120648-3.jpg']","['Parkinsonia', 'Lantana']",Parthenium,['data/deepweeds/images/20171113-132754-3.jpg'],['Siam weed'],Parthenium,[],[]
8,data/deepweeds/images/20170304-124640-0.jpg,Chinee apple,Siam weed,"['data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20180112-072618-2.jpg']","['Parkinsonia', 'Snake weed', 'Lantana', 'Lantana', 'Parthenium', 'Snake weed', 'Snake weed', 'Negative']",Siam weed,"['data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171113-124517-3.jpg']","['Lantana', 'Lantana', 'Parkinsonia', 'Siam weed']",Parthenium,"['data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20171113-132754-3.jpg']","['Snake weed', 'Siam weed']",Lantana,['data/deepweeds/images/20170729-090327-1.jpg'],['Prickly acacia'],Parthenium,[],[]
9,data/deepweeds/images/20170811-162102-1.jpg,Chinee apple,Parthenium,"['data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20170811-104825-2.jpg']","['Rubber vine', 'Parkinsonia', 'Negative', 'Lantana', 'Siam weed', 'Snake weed', 'Prickly acacia', 'Chinee apple']",Chinee apple,"['data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170718-132000-2.jpg']","['Rubber vine', 'Rubber vine', 'Rubber vine', 'Chinee apple']",Prickly acacia,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20171109-091107-1.jpg']","['Parthenium', 'Rubber vine']",Siam weed,['data/deepweeds/images/20171113-140251-1.jpg'],['Siam weed'],Prickly acacia,[],[]
