,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Spotted,"['data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/688.jpg', 'data/Soybean Seeds/Spotted/922.jpg', 'data/Soybean Seeds/Skin-damaged/147.jpg', 'data/Soybean Seeds/Immature/40.jpg', 'data/Soybean Seeds/Immature/102.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Intact/698.jpg']","['Spotted', 'Intact', 'Spotted', 'Skin-damaged', 'Immature', 'Immature', 'Intact', 'Intact']",Spotted,"['data/Soybean Seeds/Broken/738.jpg', 'data/Soybean Seeds/Skin-damaged/343.jpg', 'data/Soybean Seeds/Immature/10.jpg', 'data/Soybean Seeds/Broken/331.jpg']","['Broken', 'Skin-damaged', 'Immature', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Intact/1125.jpg', 'data/Soybean Seeds/Immature/696.jpg']","['Intact', 'Immature']",Skin-damaged,['data/Soybean Seeds/Spotted/1036.jpg'],['Spotted'],Spotted,[],[]
1,data/Soybean Seeds/Intact/407.jpg,Intact,Immature,"['data/Soybean Seeds/Broken/544.jpg', 'data/Soybean Seeds/Spotted/420.jpg', 'data/Soybean Seeds/Broken/958.jpg', 'data/Soybean Seeds/Skin-damaged/105.jpg', 'data/Soybean Seeds/Intact/567.jpg', 'data/Soybean Seeds/Spotted/399.jpg', 'data/Soybean Seeds/Intact/688.jpg', 'data/Soybean Seeds/Spotted/157.jpg']","['Broken', 'Spotted', 'Broken', 'Skin-damaged', 'Intact', 'Spotted', 'Intact', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/695.jpg', 'data/Soybean Seeds/Broken/84.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Intact/48.jpg']","['Skin-damaged', 'Broken', 'Immature', 'Intact']",Broken,"['data/Soybean Seeds/Broken/331.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Broken', 'Broken']",Skin-damaged,['data/Soybean Seeds/Skin-damaged/514.jpg'],['Skin-damaged'],Spotted,[],[]
2,data/Soybean Seeds/Skin-damaged/926.jpg,Skin-damaged,Broken,"['data/Soybean Seeds/Broken/136.jpg', 'data/Soybean Seeds/Immature/1124.jpg', 'data/Soybean Seeds/Immature/10.jpg', 'data/Soybean Seeds/Intact/192.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Spotted/532.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/974.jpg']","['Broken', 'Immature', 'Immature', 'Intact', 'Immature', 'Spotted', 'Spotted', 'Spotted']",Broken,"['data/Soybean Seeds/Immature/1124.jpg', 'data/Soybean Seeds/Spotted/532.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/10.jpg']","['Immature', 'Spotted', 'Immature', 'Immature']",Broken,"['data/Soybean Seeds/Immature/1084.jpg', 'data/Soybean Seeds/Spotted/922.jpg']","['Immature', 'Spotted']",Broken,['data/Soybean Seeds/Immature/102.jpg'],['Immature'],Skin-damaged,[],[]
3,data/Soybean Seeds/Intact/698.jpg,Intact,Skin-damaged,"['data/Soybean Seeds/Skin-damaged/149.jpg', 'data/Soybean Seeds/Intact/382.jpg', 'data/Soybean Seeds/Skin-damaged/695.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Broken/181.jpg', 'data/Soybean Seeds/Spotted/493.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/848.jpg']","['Skin-damaged', 'Intact', 'Skin-damaged', 'Spotted', 'Broken', 'Spotted', 'Immature', 'Broken']",Immature,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/695.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Skin-damaged/1102.jpg']","['Spotted', 'Skin-damaged', 'Skin-damaged', 'Skin-damaged']",Skin-damaged,"['data/Soybean Seeds/Immature/10.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Immature', 'Skin-damaged']",Intact,['data/Soybean Seeds/Spotted/167.jpg'],['Spotted'],Intact,[],[]
4,data/Soybean Seeds/Intact/699.jpg,Intact,Skin-damaged,"['data/Soybean Seeds/Skin-damaged/8.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Spotted/420.jpg', 'data/Soybean Seeds/Spotted/157.jpg', 'data/Soybean Seeds/Spotted/262.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Immature/431.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg']","['Skin-damaged', 'Spotted', 'Spotted', 'Spotted', 'Spotted', 'Spotted', 'Immature', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Intact/192.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/10.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Intact', 'Broken', 'Immature', 'Broken']",Intact,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Intact', 'Broken']",Intact,['data/Soybean Seeds/Intact/242.jpg'],['Intact'],Skin-damaged,[],[]
5,data/Soybean Seeds/Immature/102.jpg,Immature,Skin-damaged,"['data/Soybean Seeds/Intact/495.jpg', 'data/Soybean Seeds/Spotted/493.jpg', 'data/Soybean Seeds/Spotted/1036.jpg', 'data/Soybean Seeds/Broken/84.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Immature/8.jpg', 'data/Soybean Seeds/Intact/95.jpg', 'data/Soybean Seeds/Skin-damaged/926.jpg']","['Intact', 'Spotted', 'Spotted', 'Broken', 'Broken', 'Immature', 'Intact', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Intact/688.jpg']","['Spotted', 'Skin-damaged', 'Immature', 'Intact']",Intact,"['data/Soybean Seeds/Skin-damaged/1102.jpg', 'data/Soybean Seeds/Spotted/262.jpg']","['Skin-damaged', 'Spotted']",Intact,['data/Soybean Seeds/Broken/866.jpg'],['Broken'],Intact,[],[]
6,data/Soybean Seeds/Immature/696.jpg,Immature,Immature,"['data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Spotted/974.jpg', 'data/Soybean Seeds/Spotted/922.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Immature/621.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Immature/19.jpg']","['Skin-damaged', 'Spotted', 'Spotted', 'Immature', 'Immature', 'Immature', 'Skin-damaged', 'Immature']",Intact,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Spotted/586.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Spotted/974.jpg']","['Spotted', 'Spotted', 'Skin-damaged', 'Spotted']",Immature,"['data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg']","['Intact', 'Skin-damaged']",Intact,['data/Soybean Seeds/Broken/203.jpg'],['Broken'],Intact,[],[]
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Skin-damaged,"['data/Soybean Seeds/Immature/1124.jpg', 'data/Soybean Seeds/Intact/567.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Skin-damaged/670.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Skin-damaged/268.jpg', 'data/Soybean Seeds/Skin-damaged/105.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg']","['Immature', 'Intact', 'Skin-damaged', 'Skin-damaged', 'Intact', 'Skin-damaged', 'Skin-damaged', 'Skin-damaged']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Intact/972.jpg', 'data/Soybean Seeds/Skin-damaged/196.jpg', 'data/Soybean Seeds/Skin-damaged/268.jpg']","['Skin-damaged', 'Intact', 'Skin-damaged', 'Skin-damaged']",Broken,"['data/Soybean Seeds/Broken/958.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Broken', 'Broken']",Spotted,['data/Soybean Seeds/Spotted/706.jpg'],['Spotted'],Skin-damaged,[],[]
8,data/Soybean Seeds/Broken/949.jpg,Broken,Broken,"['data/Soybean Seeds/Broken/554.jpg', 'data/Soybean Seeds/Skin-damaged/343.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Immature/19.jpg', 'data/Soybean Seeds/Immature/621.jpg', 'data/Soybean Seeds/Broken/331.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/1065.jpg']","['Broken', 'Skin-damaged', 'Immature', 'Immature', 'Immature', 'Broken', 'Broken', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Intact/1125.jpg', 'data/Soybean Seeds/Spotted/157.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Broken/181.jpg']","['Intact', 'Spotted', 'Spotted', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Spotted/586.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Spotted', 'Immature']",Skin-damaged,['data/Soybean Seeds/Intact/483.jpg'],['Intact'],Skin-damaged,[],[]
9,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,"['data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Immature/1084.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/343.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Intact/382.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/196.jpg']","['Skin-damaged', 'Immature', 'Spotted', 'Skin-damaged', 'Spotted', 'Intact', 'Broken', 'Skin-damaged']",Skin-damaged,"['data/Soybean Seeds/Intact/242.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/48.jpg', 'data/Soybean Seeds/Spotted/532.jpg']","['Intact', 'Spotted', 'Intact', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Spotted/1036.jpg', 'data/Soybean Seeds/Spotted/876.jpg']","['Spotted', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Immature/1124.jpg'],['Immature'],Skin-damaged,[],[]
