,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_2.jpg,Colorado Potato Beetles,Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_94.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_115.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_85.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_39.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_74.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_10.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_55.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_69.jpg']","['Corn Borers', 'Tomato Hornworms', 'Fall Armyworms', 'Corn Borers', 'Spider Mites', 'Thrips', 'Thrips', 'Corn Earworms']",Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_101.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_15.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_64.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_45.jpg']","['Corn Borers', 'Aphids', 'Cabbage Loopers', 'Armyworms']",Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_2.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_16.jpg']","['Africanized Honey Bees', 'Spider Mites']",Colorado Potato Beetles,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_115.jpg'],['Tomato Hornworms'],Colorado Potato Beetles,[],[]
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_39.jpg,Brown Marmorated Stink Bugs,Brown Marmorated Stink Bugs,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_81.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_86.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_6.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_85.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_21.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_11.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_112.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_72.jpg']","['Fruit Flies', 'Corn Borers', 'Africanized Honey Bees', 'Africanized Honey Bees', 'Western Corn Rootworms', 'Corn Earworms', 'Spider Mites', 'Corn Borers']",Brown Marmorated Stink Bugs,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_99.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_72.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_45.png']","['Aphids', 'Corn Borers', 'Corn Earworms', 'Citrus Canker']",Brown Marmorated Stink Bugs,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_3.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_16.jpg']","['Armyworms', 'Corn Borers']",Brown Marmorated Stink Bugs,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_71.jpg'],['Armyworms'],Brown Marmorated Stink Bugs,[],[]
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_39.jpg,Fall Armyworms,Armyworms,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_115.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_46.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_55.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_20.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_110.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_86.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_3.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_81.jpg']","['Tomato Hornworms', 'Tomato Hornworms', 'Thrips', 'Western Corn Rootworms', 'Tomato Hornworms', 'Fall Armyworms', 'Armyworms', 'Fruit Flies']",Armyworms,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_106.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_45.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_71.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_85.jpg']","['Colorado Potato Beetles', 'Fall Armyworms', 'Aphids', 'Africanized Honey Bees']",Armyworms,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_110.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_106.jpg']","['Colorado Potato Beetles', 'Colorado Potato Beetles']",Armyworms,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_110.JPG'],['Tomato Hornworms'],Armyworms,[],[]
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_74.jpg,Spider Mites,Spider Mites,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_90.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_59.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_79.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_5.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_110.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_22.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_92.jpg']","['Spider Mites', 'Aphids', 'Citrus Canker', 'Colorado Potato Beetles', 'Thrips', 'Colorado Potato Beetles', 'Cabbage Loopers', 'Cabbage Loopers']",Spider Mites,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_51.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_86.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_78.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_94.jpg']","['Brown Marmorated Stink Bugs', 'Fall Armyworms', 'Corn Earworms', 'Corn Borers']",Spider Mites,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_106.png']","['Corn Earworms', 'Brown Marmorated Stink Bugs']",Spider Mites,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_10.jpg'],['Thrips'],Spider Mites,[],[]
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_34.jpg,Africanized Honey Bees,Africanized Honey Bees,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_99.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_111.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_16.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_94.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_81.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_39.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_54.jpg']","['Aphids', 'Thrips', 'Fruit Flies', 'Tomato Hornworms', 'Corn Borers', 'Western Corn Rootworms', 'Brown Marmorated Stink Bugs', 'Cabbage Loopers']",Africanized Honey Bees,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_3.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_15.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_46.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_5.jpg']","['Armyworms', 'Aphids', 'Tomato Hornworms', 'Fruit Flies']",Africanized Honey Bees,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_106.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_71.jpg']","['Colorado Potato Beetles', 'Armyworms']",Africanized Honey Bees,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Earworms/Image_91.JPG'],['Corn Earworms'],Africanized Honey Bees,[],[]
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_4.jpg,Cabbage Loopers,Cabbage Loopers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_16.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_22.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_45.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_90.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_45.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_79.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_29.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_119.jpg']","['Tomato Hornworms', 'Citrus Canker', 'Armyworms', 'Thrips', 'Citrus Canker', 'Citrus Canker', 'Armyworms', 'Armyworms']",Cabbage Loopers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_29.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_56.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_97.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_112.jpg']","['Armyworms', 'Citrus Canker', 'Citrus Canker', 'Spider Mites']",Cabbage Loopers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_86.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_79.jpg']","['Fall Armyworms', 'Western Corn Rootworms']",Cabbage Loopers,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_102.jpg'],['Fruit Flies'],Cabbage Loopers,[],[]
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_95.jpg,Colorado Potato Beetles,Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_89.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_20.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_56.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_45.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_51.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_106.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_8.jpg']","['Aphids', 'Western Corn Rootworms', 'Citrus Canker', 'Corn Borers', 'Armyworms', 'Brown Marmorated Stink Bugs', 'Brown Marmorated Stink Bugs', 'Western Corn Rootworms']",Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_45.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_97.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_85.jpg']","['Thrips', 'Fall Armyworms', 'Citrus Canker', 'Africanized Honey Bees']",Colorado Potato Beetles,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_115.jpg']","['Corn Borers', 'Tomato Hornworms']",Colorado Potato Beetles,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_23.jpg'],['Aphids'],Colorado Potato Beetles,[],[]
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_99.jpg,Fruit Flies,Fruit Flies,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_25.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_45.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_2.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_72.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_81.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_112.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_106.png']","['Western Corn Rootworms', 'Fall Armyworms', 'Colorado Potato Beetles', 'Corn Borers', 'Western Corn Rootworms', 'Brown Marmorated Stink Bugs', 'Spider Mites', 'Brown Marmorated Stink Bugs']",NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_85.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_37.jpeg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_39.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_80.jpg']","['Africanized Honey Bees', 'Thrips', 'Corn Borers', 'Fruit Flies']",NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_81.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_101.jpg']","['Fruit Flies', 'Corn Borers']",NA,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_79.jpg'],['Western Corn Rootworms'],NA,[],[]
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_89.jpg,Aphids,Aphids,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Brown Marmorated Stink Bugs/Image_42.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_110.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Citrus Canker/Image_56.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_16.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_117.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_81.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_55.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_92.jpg']","['Brown Marmorated Stink Bugs', 'Colorado Potato Beetles', 'Citrus Canker', 'Tomato Hornworms', 'Fall Armyworms', 'Cabbage Loopers', 'Thrips', 'Cabbage Loopers']",Aphids,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_106.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_80.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Western Corn Rootworms/Image_20.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_119.jpg']","['Colorado Potato Beetles', 'Fruit Flies', 'Western Corn Rootworms', 'Armyworms']",Aphids,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_90.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fruit Flies/Image_111.jpg']","['Aphids', 'Fruit Flies']",Aphids,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_71.jpg'],['Aphids'],Aphids,[],[]
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Corn Borers/Image_72.jpg,Corn Borers,Corn Borers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_16.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Armyworms/Image_71.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_90.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_23.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_5.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_34.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Thrips/Image_16.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Spider Mites/Image_111.jpg']","['Tomato Hornworms', 'Armyworms', 'Thrips', 'Aphids', 'Thrips', 'Africanized Honey Bees', 'Thrips', 'Spider Mites']",Corn Borers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Colorado Potato Beetles/Image_79.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Aphids/Image_15.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Cabbage Loopers/Image_64.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Tomato Hornworms/Image_46.jpg']","['Colorado Potato Beetles', 'Aphids', 'Cabbage Loopers', 'Tomato Hornworms']",Corn Borers,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_86.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Fall Armyworms/Image_45.jpg']","['Fall Armyworms', 'Fall Armyworms']",Western Corn Rootworms,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/farm_insects/Africanized Honey Bees/Image_116.jpg'],['Africanized Honey Bees'],Corn Borers,[],[]
