,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg,Mild Blast,Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg']","['Severe Bacterial Blight', 'Mild Tungro', 'Severe Tungro', 'Severe Bacterial Blight', 'Severe Tungro', 'Severe Brownspot', 'Severe Tungro', 'Mild Blast']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG']","['Mild Tungro', 'Healthy', 'Mild Bacterial Blight', 'Severe Bacterial Blight']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg']","['Mild Bacterial Blight', 'Severe Brownspot']",Mild Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg'],['Severe Brownspot'],Mild Brownspot,[],[]
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG,Mild Tungro,Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg']","['Mild Tungro', 'Severe Bacterial Blight', 'Severe Blast', 'Severe Tungro', 'Mild Blast', 'Severe Brownspot', 'Mild Brownspot', 'Severe Tungro']",Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg']","['Mild Blast', 'Healthy', 'Severe Brownspot', 'Mild Blast']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg']","['Healthy', 'Mild Brownspot']",Mild Tungro,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg'],['Mild Blast'],Mild Blast,[],[]
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg,Mild Brownspot,Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg']","['Mild Bacterial Blight', 'Severe Tungro', 'Severe Tungro', 'Severe Brownspot', 'Healthy', 'Severe Bacterial Blight', 'Mild Tungro', 'Mild Bacterial Blight']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG']","['Healthy', 'Severe Brownspot', 'Mild Blast', 'Severe Tungro']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG']","['Healthy', 'Mild Tungro']",Mild Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg'],['Mild Brownspot'],Mild Blast,[],[]
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg,Severe Brownspot,NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg']","['Mild Bacterial Blight', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Tungro', 'Mild Blast', 'Mild Tungro', 'Severe Brownspot', 'Severe Bacterial Blight']",Mild Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg']","['Mild Tungro', 'Mild Blast', 'Severe Tungro', 'Mild Brownspot']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg']","['Severe Brownspot', 'Mild Brownspot']",Mild Tungro,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG'],['Mild Tungro'],Mild Bacterial Blight,[],[]
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg,Healthy,Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg']","['Healthy', 'Mild Tungro', 'Mild Blast', 'Severe Tungro', 'Mild Bacterial Blight', 'Severe Brownspot', 'Mild Brownspot', 'Severe Blast']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg']","['Healthy', 'Mild Bacterial Blight', 'Mild Brownspot', 'Healthy']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg']","['Severe Tungro', 'Severe Blast']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg'],['Mild Bacterial Blight'],Healthy,[],[]
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg,Mild Brownspot,Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg']","['Mild Brownspot', 'Severe Tungro', 'Healthy', 'Mild Blast', 'Mild Brownspot', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Blast']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg']","['Healthy', 'Severe Brownspot', 'Severe Blast', 'Mild Blast']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG']","['Mild Bacterial Blight', 'Mild Tungro']",Mild Blast,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg'],['Severe Tungro'],Mild Brownspot,[],[]
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg,Severe Bacterial Blight,Severe Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG']","['Mild Brownspot', 'Mild Tungro', 'Severe Brownspot', 'Mild Blast', 'Mild Brownspot', 'Mild Bacterial Blight', 'Healthy', 'Severe Bacterial Blight']",Severe Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg']","['Mild Tungro', 'Healthy', 'Healthy', 'Mild Brownspot']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg']","['Mild Bacterial Blight', 'Severe Tungro']",Mild Blast,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg'],['Mild Bacterial Blight'],Mild Blast,[],[]
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG,Severe Bacterial Blight,Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg']","['Mild Blast', 'Severe Bacterial Blight', 'Mild Tungro', 'Healthy', 'Mild Tungro', 'Mild Bacterial Blight', 'Mild Blast', 'Severe Brownspot']",NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg']","['Severe Brownspot', 'Severe Brownspot', 'Mild Bacterial Blight', 'Healthy']",Mild Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg']","['Mild Bacterial Blight', 'Severe Tungro']",Severe Blast,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg'],['Mild Blast'],Mild Blast,[],[]
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG,Mild Tungro,Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg']","['Mild Tungro', 'Healthy', 'Mild Blast', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Brownspot', 'Mild Blast', 'Mild Brownspot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg']","['Severe Brownspot', 'Healthy', 'Severe Brownspot', 'Mild Brownspot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg']","['Mild Bacterial Blight', 'Mild Blast']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg'],['Mild Brownspot'],Mild Blast,[],[]
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG,Severe Tungro,Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg']","['Mild Brownspot', 'Mild Bacterial Blight', 'Healthy', 'Mild Bacterial Blight', 'Mild Tungro', 'Severe Bacterial Blight', 'Severe Bacterial Blight', 'Mild Blast']",Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG']","['Severe Tungro', 'Mild Blast', 'Mild Brownspot', 'Mild Tungro']",Mild Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg']","['Mild Blast', 'Severe Tungro']",Mild Tungro,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg'],['Mild Bacterial Blight'],Mild Tungro,[],[]
