,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png,Iron Deficiency Chlorosis,Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/37320.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28697.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/39925.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/1553.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/27331.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/50435.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/13032.png']","['Herbicide Injury', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Frogeye Leaf Spot', 'Potassium Deficiency', 'Bacterial Blight', 'Frogeye Leaf Spot', 'Herbicide Injury']",Iron Deficiency Chlorosis,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/12217.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/8340.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/11675.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/35034.png']","['Iron Deficiency Chlorosis', 'Healthy', 'Potassium Deficiency', 'Frogeye Leaf Spot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/53564.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/25035.png']","['Herbicide Injury', 'Healthy']",Bacterial Pustule,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/56951.png'],['Bacterial Pustule'],Potassium Deficiency,[],[]
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/28732.png,Healthy,Frogeye Leaf Spot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45328.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28697.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/26127.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/7206.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28574.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/43242.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/1469.png']","['Bacterial Blight', 'Bacterial Pustule', 'Sudden Death Syndrome', 'Sudden Death Syndrome', 'Potassium Deficiency', 'Bacterial Pustule', 'Bacterial Pustule', 'Frogeye Leaf Spot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/1469.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/25035.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/41348.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/55057.png']","['Frogeye Leaf Spot', 'Healthy', 'Bacterial Pustule', 'Frogeye Leaf Spot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/7206.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/19961.png']","['Potassium Deficiency', 'Iron Deficiency Chlorosis']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/40579.png'],['Potassium Deficiency'],Healthy,[],[]
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/11755.png,Sudden Death Syndrome,Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/26127.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/41348.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/38082.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/9664.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/50435.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28574.png']","['Sudden Death Syndrome', 'Bacterial Pustule', 'Potassium Deficiency', 'Herbicide Injury', 'Sudden Death Syndrome', 'Septoria Brown Spot', 'Frogeye Leaf Spot', 'Bacterial Pustule']",Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/50640.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/50435.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/41348.png']","['Herbicide Injury', 'Frogeye Leaf Spot', 'Septoria Brown Spot', 'Bacterial Pustule']",Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/21086.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/39438.png']","['Potassium Deficiency', 'Septoria Brown Spot']",Iron Deficiency Chlorosis,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/5553.png'],['Iron Deficiency Chlorosis'],Bacterial Pustule,[],[]
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/56951.png,Bacterial Pustule,Sudden Death Syndrome,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/27331.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/20670.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/33304.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/50820.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28574.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/36772.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/37320.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png']","['Bacterial Blight', 'Healthy', 'Herbicide Injury', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Bacterial Blight', 'Herbicide Injury', 'Sudden Death Syndrome']",Iron Deficiency Chlorosis,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/40297.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/13032.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/1469.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/34777.png']","['Sudden Death Syndrome', 'Herbicide Injury', 'Frogeye Leaf Spot', 'Healthy']",Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28697.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/35034.png']","['Bacterial Pustule', 'Frogeye Leaf Spot']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/45767.png'],['Potassium Deficiency'],Bacterial Pustule,[],[]
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/50904.png,Sudden Death Syndrome,Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/5553.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/40059.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/50686.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45278.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/27579.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/13297.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/7187.png']","['Iron Deficiency Chlorosis', 'Iron Deficiency Chlorosis', 'Potassium Deficiency', 'Sudden Death Syndrome', 'Bacterial Blight', 'Sudden Death Syndrome', 'Septoria Brown Spot', 'Bacterial Blight']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45328.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/27491.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/26127.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/41774.png']","['Bacterial Blight', 'Frogeye Leaf Spot', 'Sudden Death Syndrome', 'Healthy']",Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/57933.png']","['Septoria Brown Spot', 'Bacterial Pustule']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/4539.png'],['Septoria Brown Spot'],Bacterial Pustule,[],[]
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png,Septoria Brown Spot,Potassium Deficiency,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/35034.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/45767.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/27579.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/43242.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/22898.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/56951.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/27331.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/40059.png']","['Frogeye Leaf Spot', 'Potassium Deficiency', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Iron Deficiency Chlorosis', 'Bacterial Pustule', 'Bacterial Blight', 'Potassium Deficiency']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/5977.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/53564.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/56102.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/41774.png']","['Frogeye Leaf Spot', 'Herbicide Injury', 'Bacterial Blight', 'Healthy']",Herbicide Injury,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45328.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/57790.png']","['Bacterial Blight', 'Herbicide Injury']",Sudden Death Syndrome,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png'],['Sudden Death Syndrome'],Healthy,[],[]
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/19961.png,Iron Deficiency Chlorosis,Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/34777.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/27579.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/35189.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/33304.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/11099.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/56951.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/36772.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/27491.png']","['Healthy', 'Sudden Death Syndrome', 'Sudden Death Syndrome', 'Herbicide Injury', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Bacterial Blight', 'Frogeye Leaf Spot']",Iron Deficiency Chlorosis,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/19599.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/26127.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/50904.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png']","['Septoria Brown Spot', 'Sudden Death Syndrome', 'Sudden Death Syndrome', 'Iron Deficiency Chlorosis']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/11675.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/45767.png']","['Potassium Deficiency', 'Potassium Deficiency']",Bacterial Pustule,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/50820.png'],['Sudden Death Syndrome'],Healthy,[],[]
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/25035.png,Healthy,Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/43432.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/43242.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/17619.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/33902.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/27579.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/34777.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/57752.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/36772.png']","['Potassium Deficiency', 'Bacterial Pustule', 'Healthy', 'Iron Deficiency Chlorosis', 'Sudden Death Syndrome', 'Healthy', 'Herbicide Injury', 'Bacterial Blight']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/50640.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45278.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/1553.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/52318.png']","['Herbicide Injury', 'Bacterial Blight', 'Potassium Deficiency', 'Bacterial Blight']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/481.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png']","['Frogeye Leaf Spot', 'Iron Deficiency Chlorosis']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/41774.png'],['Healthy'],Healthy,[],[]
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/23247.png,Bacterial Blight,Septoria Brown Spot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/1469.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/41415.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/25035.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Pustule/28697.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/16562.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/13947.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png']","['Frogeye Leaf Spot', 'Bacterial Blight', 'Healthy', 'Bacterial Pustule', 'Herbicide Injury', 'Iron Deficiency Chlorosis', 'Herbicide Injury', 'Septoria Brown Spot']",Bacterial Pustule,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/40993.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/13032.png']","['Iron Deficiency Chlorosis', 'Sudden Death Syndrome', 'Iron Deficiency Chlorosis', 'Herbicide Injury']",Frogeye Leaf Spot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45328.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/5574.png']","['Bacterial Blight', 'Sudden Death Syndrome']",Herbicide Injury,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/37320.png'],['Herbicide Injury'],Healthy,[],[]
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/5372.png,Bacterial Blight,Iron Deficiency Chlorosis,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/57790.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/21086.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/39925.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/53564.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/45278.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/37320.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Frogeye Leaf Spot/27491.png']","['Herbicide Injury', 'Potassium Deficiency', 'Frogeye Leaf Spot', 'Herbicide Injury', 'Bacterial Blight', 'Herbicide Injury', 'Iron Deficiency Chlorosis', 'Frogeye Leaf Spot']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/10378.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Sudden Death Syndrome/11755.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Septoria Brown Spot/14432.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Healthy/20670.png']","['Herbicide Injury', 'Sudden Death Syndrome', 'Septoria Brown Spot', 'Healthy']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Herbicide Injury/57752.png', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Bacterial Blight/52318.png']","['Herbicide Injury', 'Bacterial Blight']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Soybean-PNAS/Potassium Deficiency/43432.png'],['Potassium Deficiency'],Frogeye Leaf Spot,[],[]
