,0,1,# of Shots 0,Example Paths 0,Example Categories 0,# of Shots 8,Example Paths 8,Example Categories 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/30/24420.jpg,wheat blossom midge,wheat blossom midge,[],[],wheat blossom midge,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11858.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67542.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/63/43391.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/47/32965.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/78/60558.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/32/24879.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/37/26097.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/73/58415.jpg""]","[""white margined moth"", ""Salurnis marginella Guerr"", ""Polyphagotars onemus latus"", ""tarnished plant bug"", ""Ceroplastes rubens"", ""longlegged spider mite"", ""flea beetle"", ""Papilio xuthus""]"
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/46477.jpg,Lycorma delicatula,I don't know,[],[],Xylotrechus,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/66/44469.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/44/30725.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/40/29284.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/81/60942.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66423.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/100/69409.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67542.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/59/42703.jpg""]","[""Ampelophaga"", ""alfalfa weevil"", ""Beet spot flies"", ""Nipaecoccus vastalor"", ""Dasineura sp"", ""Sternochetus frigidus"", ""Salurnis marginella Guerr"", ""Viteus vitifoliae""]"
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/62/43298.jpg,oides decempunctata,Lycorma delicatula,[],[],oides decempunctata,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/31/24664.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/79/60745.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/33/25154.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/64/43626.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/6/04277.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/69/51400.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/85/62626.jpg""]","[""penthaleus major"", ""Chrysomphalus aonidum"", ""wheat phloeothrips"", ""Pseudococcus comstocki Kuwana"", ""Rice Stemfly"", ""Dacus dorsalis(Hendel)"", ""Cicadella viridis"", ""Bactrocera tsuneonis""]"
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/47/32965.jpg,tarnished plant bug,Apolygus lucorum,[],[],Miridae,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/80/60873.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/89/64753.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/53/39009.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/36/25866.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/4/03137.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/5/03490.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/100/69409.jpg""]","[""Parlatoria zizyphus Lucus"", ""Toxoptera citricidus"", ""rice shell pest"", ""odontothrips loti"", ""beet fly"", ""yellow rice borer"", ""rice gall midge"", ""Sternochetus frigidus""]"
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/29824.jpg,beet weevil,Deporaus marginatus Pascoe,[],[],Sternochetus frigidus,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/82/61699.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39240.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/35/25842.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/69529.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29750.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/46/32032.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01306.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/91/65384.jpg""]","[""Aleurocanthus spiniferus"", ""Thrips"", ""cerodonta denticornis"", ""Cicadellidae"", ""meadow moth"", ""alfalfa plant bug"", ""rice leaf caterpillar"", ""Aphis citricola Vander Goot""]"
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/40/29284.jpg,Beet spot flies,paddy stem maggot,[],[],cerodonta denticornis,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/62/43298.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/3/02103.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07219.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/6/04277.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/52/38748.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/36/25866.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66423.jpg""]","[""oides decempunctata"", ""asiatic rice borer"", ""rice water weevil"", ""bird cherry-oataphid"", ""Rice Stemfly"", ""therioaphis maculata Buckton"", ""beet fly"", ""Dasineura sp""]"
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg,Toxoptera aurantii,Toxoptera citricidus,[],[],Apolygus lucorum,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/4/03137.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66423.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/33/25154.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/26/21900.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/23/16030.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/73/58415.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/34898.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/53/39009.jpg""]","[""yellow rice borer"", ""Dasineura sp"", ""wheat phloeothrips"", ""peach borer"", ""army worm"", ""Papilio xuthus"", ""lytta polita"", ""odontothrips loti""]"
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg,flax budworm,beet army worm,[],[],beet army worm,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/37/26097.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/4/03137.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/8/05489.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/40/29284.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/92/66257.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/65/43831.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/46/32032.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/77/59985.jpg""]","[""flea beetle"", ""yellow rice borer"", ""white backed plant hopper"", ""Beet spot flies"", ""Scirtothrips dorsalis Hood"", ""parathrene regalis"", ""alfalfa plant bug"", ""Unaspis yanonensis""]"
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07219.jpg,rice water weevil,rice leafhopper,[],[],rice leafhopper,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/76/59314.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/100/69409.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/24/19019.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/7/04375.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/66/44469.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/14/08842.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/56/40317.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/78/60558.jpg""]","[""Icerya purchasi Maskell"", ""Sternochetus frigidus"", ""aphids"", ""brown plant hopper"", ""Ampelophaga"", ""grub"", ""Pieris canidia"", ""Ceroplastes rubens""]"
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/0/00414.jpg,rice leaf roller,rice leaf roller,[],[],rice leaf caterpillar,"[""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/80/60873.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/29824.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/97/68298.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07219.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/100/69409.jpg"", ""/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01306.jpg""]","[""flax budworm"", ""Parlatoria zizyphus Lucus"", ""rice shell pest"", ""beet weevil"", ""Chlumetia transversa"", ""rice water weevil"", ""Sternochetus frigidus"", ""rice leaf caterpillar""]"
