,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG,Severe Bacterial Blight,Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg']","['Mild Brownspot', 'Severe Brownspot', 'Mild Blast', 'Severe Brownspot', 'Severe Brownspot', 'Mild Brownspot', 'Severe Bacterial Blight', 'Severe Blast']",Mild Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG']","['Severe Bacterial Blight', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Mild Tungro']",Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg']","['Severe Brownspot', 'Mild Brownspot']",Mild Bacterial Blight,['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG'],['Severe Bacterial Blight'],Severe Bacterial Blight,[],[]
1,data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg,Mild Brownspot,Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_145027.jpg']","['Mild Bacterial Blight', 'Mild Blast', 'Mild Brownspot', 'Mild Brownspot', 'Severe Blast', 'Severe Tungro', 'Mild Brownspot', 'Healthy']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg']","['Severe Brownspot', 'Mild Brownspot', 'Mild Tungro', 'Severe Brownspot']",Mild Blast,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg']","['Severe Tungro', 'Severe Blast']",Mild Brownspot,['data/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg'],['Mild Blast'],Mild Blast,[],[]
2,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG,Severe Tungro,Mild Tungro,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg']","['Mild Brownspot', 'Mild Tungro', 'Mild Tungro', 'Mild Brownspot', 'Severe Brownspot', 'Mild Bacterial Blight', 'Mild Brownspot', 'Mild Brownspot']",Mild Tungro,"['data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg']","['Healthy', 'Mild Tungro', 'Mild Blast', 'Healthy']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg']","['Severe Brownspot', 'Mild Blast']",Mild Tungro,['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg'],['Severe Tungro'],Mild Tungro,[],[]
3,data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg,Mild Bacterial Blight,Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg']","['Mild Brownspot', 'Healthy', 'Mild Bacterial Blight', 'Severe Blast', 'Mild Bacterial Blight', 'Mild Tungro', 'Mild Brownspot', 'Mild Bacterial Blight']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg']","['Severe Blast', 'Mild Brownspot', 'Severe Bacterial Blight', 'Severe Brownspot']",Severe Tungro,"['data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg']","['Healthy', 'Mild Blast']",Mild Bacterial Blight,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG'],['Mild Tungro'],Severe Bacterial Blight,[],[]
4,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg,Severe Tungro,Severe Tungro,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_089.jpg']","['Mild Tungro', 'Severe Blast', 'Mild Tungro', 'Severe Blast', 'Mild Bacterial Blight', 'Severe Tungro', 'Healthy', 'Mild Blast']",Mild Tungro,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg']","['Mild Tungro', 'Mild Blast', 'Severe Bacterial Blight', 'Severe Bacterial Blight']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg']","['Severe Tungro', 'Mild Brownspot']",Severe Tungro,['data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg'],['Mild Blast'],Mild Bacterial Blight,[],[]
5,data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg,Severe Brownspot,Severe Blast,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg']","['Severe Brownspot', 'Mild Tungro', 'Severe Brownspot', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Brownspot', 'Severe Tungro', 'Severe Bacterial Blight']",Severe Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_146.JPG']","['Mild Bacterial Blight', 'Severe Blast', 'Healthy', 'Severe Bacterial Blight']",Severe Blast,"['data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg']","['Mild Blast', 'Severe Brownspot']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg'],['Severe Bacterial Blight'],Mild Brownspot,[],[]
6,data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg,Severe Bacterial Blight,Severe Tungro,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_145027.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg']","['Mild Tungro', 'Severe Bacterial Blight', 'Healthy', 'Severe Brownspot', 'Mild Brownspot', 'Mild Blast', 'Mild Bacterial Blight', 'Healthy']",Severe Tungro,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg']","['Mild Tungro', 'Mild Blast', 'Mild Blast', 'Severe Tungro']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg']","['Severe Bacterial Blight', 'Severe Brownspot']",Severe Bacterial Blight,['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg'],['Severe Brownspot'],Severe Tungro,[],[]
7,data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg,Mild Brownspot,Severe Brownspot,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_034.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg']","['Mild Tungro', 'Mild Tungro', 'Healthy', 'Severe Bacterial Blight', 'Severe Brownspot', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Severe Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg']","['Severe Bacterial Blight', 'Severe Tungro', 'Mild Tungro', 'Mild Bacterial Blight']",Mild Blast,"['data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg']","['Healthy', 'Mild Bacterial Blight']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg'],['Severe Tungro'],Mild Bacterial Blight,[],[]
8,data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST4_049.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG']","['Severe Bacterial Blight', 'Mild Blast', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Blast', 'Healthy', 'Mild Tungro']",Healthy,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg']","['Severe Tungro', 'Healthy', 'Severe Brownspot', 'Mild Blast']",Healthy,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg']","['Mild Tungro', 'Mild Blast']",Healthy,['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg'],['Severe Tungro'],Healthy,[],[]
9,data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_092.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_019.jpg']","['Mild Bacterial Blight', 'Mild Brownspot', 'Severe Bacterial Blight', 'Mild Brownspot', 'Severe Bacterial Blight', 'Severe Tungro', 'Severe Tungro', 'Mild Blast']",Healthy,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg']","['Severe Tungro', 'Severe Tungro', 'Mild Bacterial Blight', 'Severe Bacterial Blight']",Healthy,"['data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg']","['Severe Blast', 'Severe Brownspot']",Healthy,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG'],['Mild Tungro'],Healthy,[],[]
