,0,1,# of Shots 0,Example Paths 0,Example Categories 0,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 8,Example Paths 8,Example Categories 8
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Spotted/112.jpg'],['Spotted'],Spotted,"['data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Intact', 'Spotted']",Spotted,"['data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Broken/960.jpg']","['Immature', 'Immature', 'Immature', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Spotted', 'Intact', 'Broken', 'Skin-damaged', 'Broken', 'Skin-damaged', 'Broken', 'Immature']"
1,data/Soybean Seeds/Intact/836.jpg,Intact,Skin-damaged,[],[],Intact,['data/Soybean Seeds/Immature/741.jpg'],['Immature'],Immature,"['data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/1008.jpg']","['Immature', 'Intact']",Intact,"['data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Spotted', 'Skin-damaged', 'Intact', 'Broken']",Intact,"['data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/828.jpg']","['Skin-damaged', 'Intact', 'Broken', 'Immature', 'Spotted', 'Spotted', 'Skin-damaged', 'Intact']"
2,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Broken,[],[],Broken,['data/Soybean Seeds/Immature/875.jpg'],['Immature'],Broken,"['data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Spotted', 'Broken']",Broken,"['data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Immature', 'Intact', 'Broken', 'Broken']",Broken,"['data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Intact/836.jpg']","['Intact', 'Spotted', 'Spotted', 'Broken', 'Immature', 'Broken', 'Immature', 'Intact']"
3,data/Soybean Seeds/Intact/698.jpg,Intact,Broken,[],[],Broken,['data/Soybean Seeds/Spotted/764.jpg'],['Spotted'],Broken,"['data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Immature', 'Broken']",Broken,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Broken', 'Intact', 'Broken', 'Broken']",Immature,"['data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/414.jpg']","['Broken', 'Immature', 'Broken', 'Immature', 'Skin-damaged', 'Skin-damaged', 'Broken', 'Immature']"
4,data/Soybean Seeds/Immature/696.jpg,Immature,Intact,[],[],Skin-damaged,['data/Soybean Seeds/Intact/1008.jpg'],['Intact'],Intact,"['data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Skin-damaged', 'Intact']",Intact,"['data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Broken/138.jpg']","['Immature', 'Spotted', 'Skin-damaged', 'Broken']",Intact,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Broken/939.jpg', 'data/Soybean Seeds/Immature/554.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Skin-damaged', 'Intact', 'Intact', 'Broken', 'Immature']"
5,data/Soybean Seeds/Immature/414.jpg,Immature,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Spotted/112.jpg'],['Spotted'],Skin-damaged,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Broken/786.jpg']","['Broken', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Intact/699.jpg']","['Spotted', 'Intact', 'Broken', 'Intact']",Skin-damaged,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Intact/699.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Spotted/894.jpg']","['Spotted', 'Spotted', 'Spotted', 'Spotted', 'Intact', 'Immature', 'Immature', 'Spotted']"
6,data/Soybean Seeds/Spotted/112.jpg,Spotted,Spotted,[],[],Spotted,['data/Soybean Seeds/Skin-damaged/973.jpg'],['Skin-damaged'],Spotted,"['data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Spotted/706.jpg']","['Broken', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Immature/696.jpg']","['Broken', 'Spotted', 'Intact', 'Immature']",Skin-damaged,"['data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Spotted/764.jpg']","['Broken', 'Broken', 'Broken', 'Skin-damaged', 'Immature', 'Skin-damaged', 'Intact', 'Spotted']"
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Skin-damaged,[],[],Skin-damaged,['data/Soybean Seeds/Broken/138.jpg'],['Broken'],Skin-damaged,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Spotted', 'Broken']",Spotted,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg']","['Intact', 'Intact', 'Spotted', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/698.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Broken/876.jpg']","['Spotted', 'Skin-damaged', 'Spotted', 'Immature', 'Intact', 'Skin-damaged', 'Intact', 'Broken']"
8,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,[],[],Intact,['data/Soybean Seeds/Immature/741.jpg'],['Immature'],Intact,"['data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Skin-damaged/32.jpg']","['Intact', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Immature/594.jpg']","['Immature', 'Skin-damaged', 'Immature', 'Immature']",Intact,"['data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Broken/333.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Broken/939.jpg']","['Broken', 'Immature', 'Immature', 'Immature', 'Broken', 'Spotted', 'Intact', 'Broken']"
9,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,[],[],Broken,['data/Soybean Seeds/Broken/939.jpg'],['Broken'],Skin-damaged,"['data/Soybean Seeds/Immature/554.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg']","['Immature', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Broken/333.jpg']","['Spotted', 'Spotted', 'Broken', 'Broken']",Spotted,"['data/Soybean Seeds/Spotted/706.jpg', 'data/Soybean Seeds/Immature/875.jpg', 'data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Immature/414.jpg', 'data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Spotted/764.jpg']","['Spotted', 'Immature', 'Immature', 'Spotted', 'Immature', 'Skin-damaged', 'Intact', 'Spotted']"
