,0,1,Embedding # of Shots 8,Embedding Example Paths 8,Embedding Example Categories 8,Embedding Same Category Count 8,Random # of Shots 8,Random Example Paths 8,Random Example Categories 8,Random Same Category Count 8,Embedding # of Shots 4,Embedding Example Paths 4,Embedding Example Categories 4,Embedding Same Category Count 4,Random # of Shots 4,Random Example Paths 4,Random Example Categories 4,Random Same Category Count 4,Embedding # of Shots 2,Embedding Example Paths 2,Embedding Example Categories 2,Embedding Same Category Count 2,Random # of Shots 2,Random Example Paths 2,Random Example Categories 2,Random Same Category Count 2,Embedding # of Shots 1,Embedding Example Paths 1,Embedding Example Categories 1,Embedding Same Category Count 1,Random # of Shots 1,Random Example Paths 1,Random Example Categories 1,Random Same Category Count 1,Embedding # of Shots 0,Embedding Example Paths 0,Embedding Example Categories 0,Embedding Same Category Count 0,Random # of Shots 0,Random Example Paths 0,Random Example Categories 0,Random Same Category Count 0
0,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0024.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0001.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0024.jpg,Vitreous Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0057.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0040.jpg,Vitreous Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0057.jpg,Vitreous Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0040.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0050.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0053.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0025.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
