,0,1,# of Shots 0,Example Paths 0,Example Categories 0,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 8,Example Paths 8,Example Categories 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/30/24420.jpg,wheat blossom midge,wheat blossom midge,[],[],wheat blossom midge,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/48/34400.jpg'],['Locustoidea'],wheat blossom midge,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39240.jpg']","['Phyllocnistis citrella Stainton', 'Thrips']",wheat blossom midge,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/20/13577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/53/39009.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/51/37726.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg']","['yellow cutworm', 'odontothrips loti', 'blister beetle', 'rice shell pest']",wheat blossom midge,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/83/62008.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/31/24664.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/97/68298.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/29824.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/7/04375.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/39/28741.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/19/12911.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/65/43831.jpg']","['Tetradacus c Bactrocera minax', 'penthaleus major', 'Chlumetia transversa', 'beet weevil', 'brown plant hopper', 'beet army worm', 'large cutworm', 'parathrene regalis']"
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/46477.jpg,Lycorma delicatula,Cicadellidae,[],[],Viteus vitifoliae,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/59/42703.jpg'],['Viteus vitifoliae'],bird cherry-oataphid,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58192.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/44/30725.jpg']","['Erythroneura apicalis', 'alfalfa weevil']",Viteus vitifoliae,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/28/23168.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/16/11573.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/69529.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/58/41158.jpg']","['green bug', 'wireworm', 'Cicadellidae', 'Limacodidae']",Lycorma delicatula,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01731.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/59/42703.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/80/60873.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/5/03490.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/99/68662.jpg']","['paddy stem maggot', 'Brevipoalpus lewisi McGregor', 'Viteus vitifoliae', 'Parlatoria zizyphus Lucus', 'Toxoptera aurantii', 'rice gall midge', 'alfalfa seed chalcid', 'Rhytidodera bowrinii white']"
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/62/43298.jpg,oides decempunctata,rice leaf roller,[],[],sericaorient alismots chulsky,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/20/13577.jpg'],['yellow cutworm'],oides decempunctata,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/82/61699.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29750.jpg']","['Aleurocanthus spiniferus', 'meadow moth']",oides decempunctata,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/89/64753.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58192.jpg']","['Dacus dorsalis(Hendel)', 'Toxoptera citricidus', 'bird cherry-oataphid', 'Erythroneura apicalis']",flea beetle,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/69529.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/6/04277.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/36/25866.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/14/08842.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/16/11573.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11858.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/0/00414.jpg']","['Cicadellidae', 'Rice Stemfly', 'beet fly', 'grub', 'Dacus dorsalis(Hendel)', 'wireworm', 'white margined moth', 'rice leaf roller']"
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/47/32965.jpg,tarnished plant bug,tarnished plant bug,[],[],tarnished plant bug,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11858.jpg'],['white margined moth'],tarnished plant bug,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/62/43298.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/8/05489.jpg']","['oides decempunctata', 'white backed plant hopper']",tarnished plant bug,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/57/40678.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/5/03490.jpg']","['Apolygus lucorum', 'Dacus dorsalis(Hendel)', 'bird cherry-oataphid', 'rice gall midge']",tarnished plant bug,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/26/21900.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/73/58415.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/11/07449.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/31/24664.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/56/40317.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/12/07986.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29750.jpg']","['peach borer', 'Papilio xuthus', 'rice leafhopper', 'penthaleus major', 'alfalfa seed chalcid', 'Pieris canidia', 'grain spreader thrips', 'meadow moth']"
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/42/29824.jpg,beet weevil,rice water weevil,[],[],rice water weevil,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/79/60745.jpg'],['Chrysomphalus aonidum'],rice water weevil,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/34898.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11858.jpg']","['lytta polita', 'white margined moth']",rice water weevil,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/32/24879.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/77/59985.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58192.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67542.jpg']","['longlegged spider mite', 'Unaspis yanonensis', 'Erythroneura apicalis', 'Salurnis marginella Guerr']",rice water weevil,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/95/67542.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/63/43391.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/25/21487.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/78/60558.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/75/59151.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/50/35848.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/22/15145.jpg']","['rice shell pest', 'Salurnis marginella Guerr', 'Polyphagotars onemus latus', 'Potosiabre vitarsis', 'Ceroplastes rubens', 'Phyllocoptes oleiverus ashmead', 'legume blister beetle', 'corn borer']"
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/40/29284.jpg,Beet spot flies,Rice Stemfly,[],[],Rice Stemfly,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/66/44469.jpg'],['Ampelophaga'],Rice Stemfly,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/25/21487.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/64/43626.jpg']","['Potosiabre vitarsis', 'Pseudococcus comstocki Kuwana']",Rice Stemfly,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01731.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/82/61699.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/18/12399.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/1/01306.jpg']","['paddy stem maggot', 'Aleurocanthus spiniferus', 'black cutworm', 'rice leaf caterpillar']",Beet spot flies,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/33/25154.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/74/58828.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/85/62626.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39240.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/96/68032.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/60/42835.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/18/12399.jpg']","['wheat phloeothrips', 'Panonchus citri McGregor', 'bird cherry-oataphid', 'Bactrocera tsuneonis', 'Thrips', 'Deporaus marginatus Pascoe', 'Colomerus vitis', 'black cutworm']"
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg,Toxoptera aurantii,aphids,[],[],aphids,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/14/08842.jpg'],['grub'],Toxoptera citricidus,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/79/60745.jpg']","['Phyllocnistis citrella Stainton', 'Chrysomphalus aonidum']",Toxoptera aurantii,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/69529.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/79/60745.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/64/43626.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/85/62626.jpg']","['Cicadellidae', 'Chrysomphalus aonidum', 'Pseudococcus comstocki Kuwana', 'Bactrocera tsuneonis']",english grain aphid,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/18/12399.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/75/59151.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66423.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/46477.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/20/13577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01731.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/55/40034.jpg']","['black cutworm', 'Phyllocnistis citrella Stainton', 'Phyllocoptes oleiverus ashmead', 'Dasineura sp', 'Lycorma delicatula', 'yellow cutworm', 'paddy stem maggot', 'alfalfa seed chalcid']"
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/45/30801.jpg,flax budworm,white margined moth,[],[],yellow cutworm,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/28/23168.jpg'],['green bug'],white margined moth,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/44/30725.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg']","['alfalfa weevil', 'rice shell pest']",Prodenia litura,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/93/66423.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/27/22989.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/84/62093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/58/41158.jpg']","['Dasineura sp', 'english grain aphid', 'Dacus dorsalis(Hendel)', 'Limacodidae']",Prodenia litura,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/82/61699.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/101/69529.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/57/40678.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/92/66257.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/63/43391.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/13/08343.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/29/23775.jpg']","['Aleurocanthus spiniferus', 'Cicadellidae', 'Apolygus lucorum', 'Scirtothrips dorsalis Hood', 'Polyphagotars onemus latus', 'Toxoptera aurantii', 'rice shell pest', 'bird cherry-oataphid']"
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/10/07219.jpg,rice water weevil,brown plant hopper,[],[],Rice Stemfly,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/88/64465.jpg'],['Phyllocnistis citrella Stainton'],Rice Stemfly,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/18/12399.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/17/11858.jpg']","['black cutworm', 'white margined moth']",Rice Stemfly,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39240.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/46477.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/41/29750.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/72/58192.jpg']","['Thrips', 'Lycorma delicatula', 'meadow moth', 'Erythroneura apicalis']",rice gall midge,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/2/01731.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/85/62626.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/32/24879.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/19/12911.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/49/34898.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/20/13577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/4/03137.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/86/62726.jpg']","['paddy stem maggot', 'Bactrocera tsuneonis', 'longlegged spider mite', 'large cutworm', 'lytta polita', 'yellow cutworm', 'yellow rice borer', 'Prodenia litura']"
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/0/00414.jpg,rice leaf roller,rice leaf roller,[],[],rice leaf roller,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/77/59985.jpg'],['Unaspis yanonensis'],rice leaf roller,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/82/61699.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg']","['Aleurocanthus spiniferus', 'Toxoptera aurantii']",rice leaf roller,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/54/39240.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/28/23168.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/61/42974.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/43/30115.jpg']","['Thrips', 'green bug', 'Brevipoalpus lewisi McGregor', 'sericaorient alismots chulsky']",rice leaf roller,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/67/46477.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/11/07449.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/56/40317.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/30/24420.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/27/22989.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/80/60873.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/21/13994.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/ip02-dataset/classification/train/90/65063.jpg']","['Lycorma delicatula', 'rice leafhopper', 'Pieris canidia', 'wheat blossom midge', 'english grain aphid', 'Parlatoria zizyphus Lucus', 'red spider', 'Toxoptera aurantii']"
