,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG,Severe Bacterial Blight,NA,NA,NA,NA,NA,NA,Severe Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg']","['Mild Blast', 'Severe Blast']",Severe Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg'],['Mild Brownspot'],Severe Bacterial Blight,[],[]
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg,Mild Brownspot,Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_019.jpg']","['Healthy', 'Severe Brownspot', 'Mild Bacterial Blight', 'Healthy', 'Severe Bacterial Blight', 'Severe Brownspot', 'Mild Brownspot', 'Mild Blast']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg']","['Mild Tungro', 'Mild Blast', 'Healthy', 'Healthy']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg']","['Mild Bacterial Blight', 'Severe Brownspot']",Mild Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg'],['Healthy'],Mild Brownspot,[],[]
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG,Severe Tungro,Mild Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg']","['Severe Bacterial Blight', 'Severe Brownspot', 'Mild Blast', 'Severe Brownspot', 'Severe Brownspot', 'Mild Tungro', 'Severe Bacterial Blight', 'Mild Brownspot']",Mild Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_200435.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG']","['Severe Bacterial Blight', 'Mild Bacterial Blight', 'Healthy', 'Severe Bacterial Blight']",NA,NA,NA,NA,NA,NA,Mild Bacterial Blight,[],[]
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg,Mild Bacterial Blight,Severe Blast,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_092.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_146.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg']","['Severe Tungro', 'Severe Blast', 'Mild Brownspot', 'Mild Tungro', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Severe Tungro']",Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg']","['Severe Brownspot', 'Severe Brownspot', 'Mild Bacterial Blight', 'Mild Brownspot']",Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG']","['Severe Bacterial Blight', 'Severe Blast']",Severe Bacterial Blight,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg'],['Mild Brownspot'],Severe Bacterial Blight,[],[]
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg,Severe Tungro,Severe Tungro,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_089.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg']","['Mild Tungro', 'Mild Tungro', 'Severe Brownspot', 'Mild Blast', 'Mild Brownspot', 'Mild Blast', 'Mild Brownspot', 'Severe Blast']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg,Severe Brownspot,Severe Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_054.jpg']","['Mild Bacterial Blight', 'Mild Tungro', 'Severe Tungro', 'Mild Bacterial Blight', 'Mild Tungro', 'Mild Brownspot', 'Mild Tungro', 'Mild Bacterial Blight']",Severe Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg']","['Severe Brownspot', 'Mild Brownspot', 'Severe Bacterial Blight', 'Severe Blast']",Severe Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_034.jpg']","['Mild Brownspot', 'Severe Brownspot']",Severe Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg'],['Mild Brownspot'],Mild Brownspot,[],[]
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg,Severe Bacterial Blight,Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg']","['Mild Tungro', 'Mild Tungro', 'Severe Blast', 'Healthy', 'Mild Blast', 'Mild Bacterial Blight', 'Severe Blast', 'Mild Blast']",Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG']","['Severe Bacterial Blight', 'Severe Brownspot', 'Healthy', 'Severe Tungro']",Severe Bacterial Blight,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg']","['Healthy', 'Mild Bacterial Blight']",Severe Bacterial Blight,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg'],['Mild Bacterial Blight'],Severe Bacterial Blight,[],[]
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg,Mild Brownspot,Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG']","['Severe Brownspot', 'Mild Bacterial Blight', 'Mild Brownspot', 'Severe Brownspot', 'Healthy', 'Mild Brownspot', 'Mild Brownspot', 'Mild Tungro']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg']","['Severe Bacterial Blight', 'Mild Tungro', 'Severe Blast', 'Mild Bacterial Blight']",Mild Brownspot,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg']","['Healthy', 'Severe Bacterial Blight']",Mild Brownspot,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg'],['Severe Tungro'],Mild Brownspot,[],[]
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg,Healthy,Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_072.jpg']","['Severe Bacterial Blight', 'Severe Bacterial Blight', 'Mild Tungro', 'Severe Brownspot', 'Severe Brownspot', 'Severe Blast', 'Healthy', 'Severe Tungro']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg']","['Healthy', 'Healthy', 'Severe Blast', 'Mild Bacterial Blight']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg']","['Mild Tungro', 'Severe Bacterial Blight']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg'],['Severe Tungro'],Healthy,[],[]
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg,Healthy,Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg']","['Mild Brownspot', 'Mild Tungro', 'Severe Blast', 'Mild Blast', 'Severe Blast', 'Severe Tungro', 'Severe Brownspot', 'Mild Bacterial Blight']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_054.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg']","['Severe Bacterial Blight', 'Mild Blast', 'Mild Bacterial Blight', 'Healthy']",Healthy,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg']","['Mild Blast', 'Mild Blast']",Healthy,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg'],['Severe Tungro'],Healthy,[],[]
