,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg,Powdery Mildew,Healthy,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164447 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164101 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141614 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160003 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161916 (Custom) (Custom).jpg']","['Gall Midge', 'Gall Midge', 'Powdery Mildew', 'Healthy', 'Bacterial Canker', 'Powdery Mildew', 'Healthy', 'Cutting Weevil']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_165339 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122000 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124431 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170138 (Custom) (Custom).jpg']","['Gall Midge', 'Powdery Mildew', 'Powdery Mildew', 'Cutting Weevil']",Healthy,"['data/mango-leaf-disease-dataset/Anthracnose/20211008_124632 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160643 (Custom).jpg']","['Anthracnose', 'Healthy']",Powdery Mildew,['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145336 (Custom).jpg'],['Sooty Mould'],Powdery Mildew,[],[]
1,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg,Powdery Mildew,Anthracnose,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161345 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164101 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143356 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160003 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162856 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145257 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg']","['Cutting Weevil', 'Gall Midge', 'Anthracnose', 'Bacterial Canker', 'Healthy', 'Die Back', 'Sooty Mould', 'Powdery Mildew']",Bacterial Canker,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161448 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135800 (Custom).jpg']","['Bacterial Canker', 'Healthy', 'Cutting Weevil', 'Bacterial Canker']",Healthy,"['data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161147 (Custom) (Custom).jpg']","['Healthy', 'Cutting Weevil']",Healthy,['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg'],['Anthracnose'],Healthy,[],[]
2,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122459 (Custom).jpg,Powdery Mildew,Powdery Mildew,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161641(0) (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155401 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_120225 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_164413 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122443 (Custom).jpg']","['Cutting Weevil', 'Powdery Mildew', 'Healthy', 'Bacterial Canker', 'Sooty Mould', 'Anthracnose', 'Bacterial Canker', 'Powdery Mildew']",Sooty Mould,"['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123138 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162502 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122528 (Custom).jpg']","['Sooty Mould', 'Anthracnose', 'Cutting Weevil', 'Sooty Mould']",,"['data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122443 (Custom).jpg']","['Die Back', 'Powdery Mildew']",Powdery Mildew,['data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg'],['Powdery Mildew'],Sooty Mould,[],[]
3,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123124 (Custom).jpg,Sooty Mould,Die Back,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143356 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123138 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161706 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg']","['Bacterial Canker', 'Sooty Mould', 'Die Back', 'Anthracnose', 'Die Back', 'Powdery Mildew', 'Powdery Mildew', 'Cutting Weevil']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_121019 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164413 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162700 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161916 (Custom) (Custom).jpg']","['Sooty Mould', 'Gall Midge', 'Gall Midge', 'Cutting Weevil']",,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161916 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg']","['Cutting Weevil', 'Anthracnose']",,,,Bacterial Canker,[],[]
4,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg,Cutting Weevil,Anthracnose,"['data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140557 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124906 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141854 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_165339 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161729 (Custom).jpg']","['Die Back', 'Anthracnose', 'Powdery Mildew', 'Powdery Mildew', 'Bacterial Canker', 'Powdery Mildew', 'Gall Midge', 'Die Back']",,"['data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162219 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg']","['Die Back', 'Powdery Mildew', 'Die Back', 'Sooty Mould']",Anthracnose,"['data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122000 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg']","['Powdery Mildew', 'Anthracnose']",Powdery Mildew,['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124431 (Custom).jpg'],['Powdery Mildew'],Healthy,[],[]
5,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg,Powdery Mildew,Bacterial Canker,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135002 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162700 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161729 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153444 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124906 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122653 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161641(0) (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161147 (Custom) (Custom).jpg']","['Bacterial Canker', 'Gall Midge', 'Die Back', 'Anthracnose', 'Powdery Mildew', 'Sooty Mould', 'Cutting Weevil', 'Cutting Weevil']",Healthy,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160557 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162411 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124044 (Custom).jpg']","['Cutting Weevil', 'Healthy', 'Cutting Weevil', 'Powdery Mildew']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162940 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141854 (Custom).jpg']","['Gall Midge', 'Bacterial Canker']",Powdery Mildew,['data/mango-leaf-disease-dataset/Anthracnose/20211008_124931 (Custom).jpg'],['Anthracnose'],Healthy,[],[]
6,data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg,Healthy,Healthy,"['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122528 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161729 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_165144 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161706 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161832 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143006 (Custom).jpg']","['Sooty Mould', 'Powdery Mildew', 'Die Back', 'Powdery Mildew', 'Anthracnose', 'Die Back', 'Healthy', 'Bacterial Canker']",Healthy,"['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123138 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124431 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162856 (Custom).jpg']","['Sooty Mould', 'Powdery Mildew', 'Anthracnose', 'Die Back']",Healthy,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143006 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134812 (Custom).jpg']","['Bacterial Canker', 'Bacterial Canker']",Sooty Mould,['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211211_154901 (Custom).jpg'],['Sooty Mould'],Healthy,[],[]
7,data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg,Die Back,Bacterial Canker,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142108 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161832 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164440 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153444 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162227 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162125 (Custom) (Custom).jpg']","['Bacterial Canker', 'Bacterial Canker', 'Powdery Mildew', 'Healthy', 'Gall Midge', 'Anthracnose', 'Gall Midge', 'Cutting Weevil']",Healthy,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135534 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155218 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/IMG_20211011_140211 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145257 (Custom).jpg']","['Bacterial Canker', 'Healthy', 'Cutting Weevil', 'Sooty Mould']",CUTTING WEEVIL,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164440 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161506 (Custom).jpg']","['Gall Midge', 'Healthy']",Healthy,['data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg'],['Healthy'],Die Back,[],[]
8,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg,Anthracnose,Anthracnose,"['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162227 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155750 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg']","['Anthracnose', 'Anthracnose', 'Powdery Mildew', 'Gall Midge', 'Cutting Weevil', 'Healthy', 'Powdery Mildew', 'Anthracnose']",Anthracnose,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161916 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122000 (Custom).jpg']","['Cutting Weevil', 'Cutting Weevil', 'Healthy', 'Powdery Mildew']",Cutting Weevil,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170138 (Custom) (Custom).jpg']","['Powdery Mildew', 'Cutting Weevil']",Healthy,['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg'],['Anthracnose'],Powdery Mildew,[],[]
9,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg,Anthracnose,Anthracnose,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170153 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_165339 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141854 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142108 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140557 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164101 (Custom).jpg']","['Cutting Weevil', 'Powdery Mildew', 'Cutting Weevil', 'Gall Midge', 'Bacterial Canker', 'Bacterial Canker', 'Anthracnose', 'Gall Midge']",Gall Midge,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170308 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124906 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg']","['Gall Midge', 'Powdery Mildew', 'Healthy', 'Die Back']",Anthracnose,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg']","['Bacterial Canker', 'Anthracnose']",Die Back,['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162227 (Custom).jpg'],['Gall Midge'],Other,[],[]
