,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg,4,60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00254.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00032.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg']","[3, 1, 60, 17, 15, 3, 30, 20]",1,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00254.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00541.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg']","[1, 17, 5, 23]",1,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00254.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg']","[1, 30]",2,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00146.jpg'],[4],1,[],[]
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00254.jpg,1,1,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00246.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00269.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00262.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00189.jpg']","[10, 8, 4, 26, 23, 30, 7, 7]",8,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg']","[3, 4, 8, 30]",1,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00168.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg']","[10, 15]",3,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg'],[3],1,[],[]
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00328.jpg,10,60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00032.jpg']","[8, 8, 20, 7, 17, 17, 11, 60]",6,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00246.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00146.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg']","[11, 10, 4, 8]",2,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00269.jpg']","[3, 4]",60,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg'],[11],NA,[],[]
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg,8,4,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00168.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00523.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00254.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00328.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00146.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg']","[10, 9, 1, 17, 10, 4, 20, 3]",11,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg']","[11, 17, 15, 3]",NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00290.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00276.jpg']","[12, 13]",10,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00246.jpg'],[10],1,[],[]
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00262.jpg,26,5,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00541.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00225.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00276.jpg']","[8, 17, 23, 15, 5, 27, 3, 13]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00340.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg']","[17, 23, 39, 30]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00225.jpg']","[3, 27]",60,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg'],[3],1,[],[]
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00269.jpg,4,60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00225.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00032.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00276.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00450.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00262.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg']","[11, 27, 60, 13, 17, 1, 26, 3]",4,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00246.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00450.jpg']","[10, 3, 4, 1]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00450.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg']","[1, 15]",3,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg'],[3],1,[],[]
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00168.jpg,10,39,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00340.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg']","[8, 7, 3, 4, 39, 17, 11, 3]",2,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg']","[4, 7, 8, 15]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00290.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg']","[12, 20]",4,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg'],[4],1,[],[]
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg,3,4,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00450.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00189.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00093.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00290.jpg']","[4, 23, 1, 7, 3, 20, 3, 12]",5,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00541.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00262.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00269.jpg']","[5, 8, 26, 4]",NA,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg']","[3, 7]",1,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg'],[17],60,[],[]
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00189.jpg,7,1,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00391.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00070.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00328.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00555.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00450.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00269.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00276.jpg']","[7, 3, 3, 10, 30, 1, 4, 13]",NA,NA,NA,60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00246.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg']","[10, 17]",17,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg'],[17],60,[],[]
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00111.jpg,20,3,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00225.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00156.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00149.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00262.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00315.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00340.jpg']","[8, 27, 7, 15, 26, 4, 8, 39]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00544.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00150.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00515.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00577.jpg']","[17, 23, 8, 8]",60,"['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00032.jpg', '/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00456.jpg']","[60, 17]",1,['/Users/muhammadarbabarshad/Downloads/AgEval-datasets/leaf-disease-quantification/data/data/images/00372.jpg'],[11],60,[],[]
