,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean Seeds/Spotted/764.jpg,Spotted,,"['data/Soybean Seeds/Immature/40.jpg', 'data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Skin-damaged/1102.jpg', 'data/Soybean Seeds/Broken/181.jpg', 'data/Soybean Seeds/Spotted/532.jpg', 'data/Soybean Seeds/Intact/465.jpg', 'data/Soybean Seeds/Broken/331.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg']","['Immature', 'Skin-damaged', 'Skin-damaged', 'Broken', 'Spotted', 'Intact', 'Broken', 'Skin-damaged']",Intact,"['data/Soybean Seeds/Intact/495.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Intact/95.jpg']","['Intact', 'Broken', 'Broken', 'Intact']",Skin-damaged,"['data/Soybean Seeds/Intact/48.jpg', 'data/Soybean Seeds/Intact/1008.jpg']","['Intact', 'Intact']",Intact,['data/Soybean Seeds/Broken/136.jpg'],['Broken'],,,
1,data/Soybean Seeds/Intact/407.jpg,Intact,Intact,"['data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Intact/8.jpg', 'data/Soybean Seeds/Immature/594.jpg', 'data/Soybean Seeds/Intact/48.jpg', 'data/Soybean Seeds/Intact/192.jpg', 'data/Soybean Seeds/Skin-damaged/196.jpg', 'data/Soybean Seeds/Immature/1124.jpg', 'data/Soybean Seeds/Spotted/922.jpg']","['Skin-damaged', 'Intact', 'Immature', 'Intact', 'Intact', 'Skin-damaged', 'Immature', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Immature/741.jpg', 'data/Soybean Seeds/Broken/958.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg', 'data/Soybean Seeds/Broken/738.jpg']","['Immature', 'Broken', 'Skin-damaged', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Intact/483.jpg']","['Skin-damaged', 'Intact']",Intact,['data/Soybean Seeds/Intact/465.jpg'],['Intact'],Broken,[],[]
2,data/Soybean Seeds/Skin-damaged/926.jpg,Skin-damaged,Broken,"['data/Soybean Seeds/Spotted/185.jpg', 'data/Soybean Seeds/Immature/102.jpg', 'data/Soybean Seeds/Skin-damaged/268.jpg', 'data/Soybean Seeds/Spotted/876.jpg', 'data/Soybean Seeds/Skin-damaged/105.jpg', 'data/Soybean Seeds/Immature/621.jpg', 'data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/974.jpg']","['Spotted', 'Immature', 'Skin-damaged', 'Spotted', 'Skin-damaged', 'Immature', 'Broken', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Intact/382.jpg', 'data/Soybean Seeds/Spotted/262.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg', 'data/Soybean Seeds/Broken/949.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Broken']",Broken,"['data/Soybean Seeds/Broken/206.jpg', 'data/Soybean Seeds/Immature/621.jpg']","['Broken', 'Immature']",Spotted,['data/Soybean Seeds/Spotted/887.jpg'],['Spotted'],Broken,[],[]
3,data/Soybean Seeds/Intact/698.jpg,Intact,Skin-damaged,"['data/Soybean Seeds/Immature/19.jpg', 'data/Soybean Seeds/Intact/465.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/8.jpg', 'data/Soybean Seeds/Intact/48.jpg', 'data/Soybean Seeds/Immature/149.jpg', 'data/Soybean Seeds/Broken/786.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg']","['Immature', 'Intact', 'Skin-damaged', 'Intact', 'Intact', 'Immature', 'Broken', 'Skin-damaged']",Broken,"['data/Soybean Seeds/Broken/876.jpg', 'data/Soybean Seeds/Spotted/420.jpg', 'data/Soybean Seeds/Spotted/528.jpg', 'data/Soybean Seeds/Broken/866.jpg']","['Broken', 'Spotted', 'Spotted', 'Broken']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg']","['Skin-damaged', 'Skin-damaged']",Broken,['data/Soybean Seeds/Immature/19.jpg'],['Immature'],Immature,[],[]
4,data/Soybean Seeds/Intact/699.jpg,Intact,Skin-damaged,"['data/Soybean Seeds/Intact/382.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Spotted/185.jpg', 'data/Soybean Seeds/Skin-damaged/268.jpg', 'data/Soybean Seeds/Broken/181.jpg', 'data/Soybean Seeds/Spotted/532.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Broken/866.jpg']","['Intact', 'Skin-damaged', 'Spotted', 'Skin-damaged', 'Broken', 'Spotted', 'Spotted', 'Broken']",Intact,"['data/Soybean Seeds/Intact/465.jpg', 'data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Intact/1008.jpg']","['Intact', 'Spotted', 'Skin-damaged', 'Intact']",,"['data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Spotted/112.jpg']","['Intact', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Intact/828.jpg'],['Intact'],Skin-damaged,[],[]
5,data/Soybean Seeds/Immature/102.jpg,Immature,Skin-damaged,"['data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Immature/441.jpg', 'data/Soybean Seeds/Immature/1084.jpg', 'data/Soybean Seeds/Intact/403.jpg', 'data/Soybean Seeds/Broken/554.jpg', 'data/Soybean Seeds/Spotted/586.jpg', 'data/Soybean Seeds/Immature/1065.jpg', 'data/Soybean Seeds/Spotted/8.jpg']","['Skin-damaged', 'Immature', 'Immature', 'Intact', 'Broken', 'Spotted', 'Immature', 'Spotted']",Skin-damaged,"['data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Spotted/876.jpg', 'data/Soybean Seeds/Skin-damaged/514.jpg', 'data/Soybean Seeds/Immature/8.jpg']","['Skin-damaged', 'Spotted', 'Skin-damaged', 'Immature']",,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Immature/431.jpg']","['Broken', 'Immature']",Immature,['data/Soybean Seeds/Immature/1084.jpg'],['Immature'],Intact,[],[]
6,data/Soybean Seeds/Immature/696.jpg,Immature,Skin-damaged,"['data/Soybean Seeds/Intact/495.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg', 'data/Soybean Seeds/Skin-damaged/105.jpg', 'data/Soybean Seeds/Skin-damaged/196.jpg', 'data/Soybean Seeds/Skin-damaged/414.jpg', 'data/Soybean Seeds/Immature/441.jpg', 'data/Soybean Seeds/Spotted/399.jpg', 'data/Soybean Seeds/Broken/203.jpg']","['Intact', 'Skin-damaged', 'Skin-damaged', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Spotted', 'Broken']",Immature,"['data/Soybean Seeds/Immature/1124.jpg', 'data/Soybean Seeds/Immature/1084.jpg', 'data/Soybean Seeds/Skin-damaged/514.jpg', 'data/Soybean Seeds/Broken/738.jpg']","['Immature', 'Immature', 'Skin-damaged', 'Broken']",Intact,"['data/Soybean Seeds/Spotted/167.jpg', 'data/Soybean Seeds/Immature/102.jpg']","['Spotted', 'Immature']",Immature,['data/Soybean Seeds/Skin-damaged/999.jpg'],['Skin-damaged'],Broken,[],[]
7,data/Soybean Seeds/Spotted/528.jpg,Spotted,Skin-damaged,"['data/Soybean Seeds/Skin-damaged/999.jpg', 'data/Soybean Seeds/Broken/960.jpg', 'data/Soybean Seeds/Immature/1065.jpg', 'data/Soybean Seeds/Skin-damaged/1102.jpg', 'data/Soybean Seeds/Skin-damaged/1090.jpg', 'data/Soybean Seeds/Broken/949.jpg', 'data/Soybean Seeds/Spotted/399.jpg', 'data/Soybean Seeds/Broken/848.jpg']","['Skin-damaged', 'Broken', 'Immature', 'Skin-damaged', 'Skin-damaged', 'Broken', 'Spotted', 'Broken']",,"['data/Soybean Seeds/Broken/138.jpg', 'data/Soybean Seeds/Spotted/493.jpg', 'data/Soybean Seeds/Immature/696.jpg', 'data/Soybean Seeds/Immature/701.jpg']","['Broken', 'Spotted', 'Immature', 'Immature']",Spotted,"['data/Soybean Seeds/Spotted/493.jpg', 'data/Soybean Seeds/Intact/407.jpg']","['Spotted', 'Intact']",Skin,['data/Soybean Seeds/Spotted/586.jpg'],['Spotted'],Immature,[],[]
8,data/Soybean Seeds/Broken/949.jpg,Broken,Skin-damaged,"['data/Soybean Seeds/Intact/495.jpg', 'data/Soybean Seeds/Skin-damaged/568.jpg', 'data/Soybean Seeds/Intact/242.jpg', 'data/Soybean Seeds/Broken/464.jpg', 'data/Soybean Seeds/Spotted/399.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Intact/828.jpg', 'data/Soybean Seeds/Intact/48.jpg']","['Intact', 'Skin-damaged', 'Intact', 'Broken', 'Spotted', 'Skin-damaged', 'Intact', 'Intact']",Spotted,"['data/Soybean Seeds/Spotted/112.jpg', 'data/Soybean Seeds/Intact/1008.jpg', 'data/Soybean Seeds/Skin-damaged/861.jpg', 'data/Soybean Seeds/Intact/403.jpg']","['Spotted', 'Intact', 'Skin-damaged', 'Intact']",Immature,"['data/Soybean Seeds/Intact/8.jpg', 'data/Soybean Seeds/Spotted/532.jpg']","['Intact', 'Spotted']",Skin-damaged,['data/Soybean Seeds/Intact/465.jpg'],['Intact'],Skin-damaged,[],[]
9,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,"['data/Soybean Seeds/Intact/972.jpg', 'data/Soybean Seeds/Skin-damaged/973.jpg', 'data/Soybean Seeds/Skin-damaged/315.jpg', 'data/Soybean Seeds/Skin-damaged/105.jpg', 'data/Soybean Seeds/Immature/1084.jpg', 'data/Soybean Seeds/Spotted/764.jpg', 'data/Soybean Seeds/Immature/1065.jpg', 'data/Soybean Seeds/Spotted/420.jpg']","['Intact', 'Skin-damaged', 'Skin-damaged', 'Skin-damaged', 'Immature', 'Spotted', 'Immature', 'Spotted']",Intact,"['data/Soybean Seeds/Intact/483.jpg', 'data/Soybean Seeds/Intact/836.jpg', 'data/Soybean Seeds/Intact/465.jpg', 'data/Soybean Seeds/Skin-damaged/147.jpg']","['Intact', 'Intact', 'Intact', 'Skin-damaged']",Spotted,"['data/Soybean Seeds/Spotted/894.jpg', 'data/Soybean Seeds/Immature/1065.jpg']","['Spotted', 'Immature']",Skin-damaged,['data/Soybean Seeds/Skin-damaged/999.jpg'],['Skin-damaged'],Skin-damaged,[],[]
