Shots,Method,Mismatched_Count,Accuracy,Avg_Same_Category_Count
0,Embedding,58,0.41414141414141414,0.0
0,Random,61,0.3838383838383838,0.0
1,Embedding,47,0.5252525252525253,0.673469387755102
1,Random,52,0.47474747474747475,0.09183673469387756
2,Embedding,33,0.6666666666666666,1.2222222222222223
2,Random,55,0.4444444444444444,0.18181818181818182
4,Embedding,22,0.7777777777777778,1.97979797979798
4,Random,54,0.45454545454545453,0.3333333333333333
8,Embedding,16,0.8383838383838383,3.163265306122449
8,Random,41,0.5858585858585859,0.8787878787878788
