Encoder,Dataset,Shots,Method,Mismatched_Count,Accuracy,Avg_Same_Category_Count
clip,DeepWeeds,0,Embedding,60,0.3939393939393939,0.0
clip,DeepWeeds,0,Random,58,0.41414141414141414,0.0
clip,DeepWeeds,1,Embedding,48,0.5151515151515151,0.5959595959595959
clip,DeepWeeds,1,Random,51,0.48484848484848486,0.12121212121212122
clip,DeepWeeds,2,Embedding,45,0.5454545454545454,0.9696969696969697
clip,DeepWeeds,2,Random,51,0.48484848484848486,0.25252525252525254
clip,DeepWeeds,4,Embedding,35,0.6464646464646465,1.5757575757575757
clip,DeepWeeds,4,Random,47,0.5252525252525253,0.41836734693877553
clip,DeepWeeds,8,Embedding,32,0.6767676767676768,2.494949494949495
clip,DeepWeeds,8,Random,42,0.5757575757575758,0.8181818181818182
resnet,DeepWeeds,0,Embedding,57,0.42424242424242425,0.0
resnet,DeepWeeds,0,Random,58,0.41414141414141414,0.0
resnet,DeepWeeds,1,Embedding,42,0.5757575757575758,0.494949494949495
resnet,DeepWeeds,1,Random,57,0.42424242424242425,0.09278350515463918
resnet,DeepWeeds,2,Embedding,39,0.6060606060606061,0.9393939393939394
resnet,DeepWeeds,2,Random,58,0.41414141414141414,0.25510204081632654
resnet,DeepWeeds,4,Embedding,34,0.6565656565656566,1.5876288659793814
resnet,DeepWeeds,4,Random,52,0.47474747474747475,0.40404040404040403
resnet,DeepWeeds,8,Embedding,27,0.7272727272727273,2.6161616161616164
resnet,DeepWeeds,8,Random,40,0.5959595959595959,0.8585858585858586
vit,DeepWeeds,0,Embedding,59,0.40404040404040403,0.0
vit,DeepWeeds,0,Random,61,0.3838383838383838,0.0
vit,DeepWeeds,1,Embedding,48,0.5151515151515151,0.6767676767676768
vit,DeepWeeds,1,Random,58,0.41414141414141414,0.05102040816326531
vit,DeepWeeds,2,Embedding,28,0.7171717171717171,1.2222222222222223
vit,DeepWeeds,2,Random,55,0.4444444444444444,0.1717171717171717
vit,DeepWeeds,4,Embedding,21,0.7878787878787878,1.97979797979798
vit,DeepWeeds,4,Random,51,0.48484848484848486,0.41414141414141414
vit,DeepWeeds,8,Embedding,16,0.8383838383838383,3.1818181818181817
vit,DeepWeeds,8,Random,46,0.5353535353535354,0.8585858585858586
