id,parent,label,value
Animalia,,Animalia,2000
Animalia/Arthropoda,Animalia,Arthropoda,1000
Animalia/Arthropoda/Insecta,Animalia/Arthropoda,Insecta,1000
Animalia/Arthropoda/Insecta/Lepidoptera,Animalia/Arthropoda/Insecta,Lepidoptera,460
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Animalia/Arthropoda/Insecta/Lepidoptera,Hesperiidae,80
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Aeromachus,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Aeromachus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Aeromachus/dubius,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Aeromachus,dubius,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Amblyscirtes,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Amblyscirtes,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Amblyscirtes/linda,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Amblyscirtes,linda,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Atrytonopsis,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Atrytonopsis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Atrytonopsis/frappenda,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Atrytonopsis,frappenda,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Carterocephalus,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Carterocephalus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Carterocephalus/avanti,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Carterocephalus,avanti,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Celaenorrhinus,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Celaenorrhinus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Celaenorrhinus/pulomaya,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Celaenorrhinus,pulomaya,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Hasora,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Hasora,10
