,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/ Highly Resistant/IMG_20220624_185004.jpg, Highly Resistant,Highly Resistant,Highly Resistant,Highly Resistant,Highly Resistant,Highly Resistant
1,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Resistant/IMG_20220618_101618.jpg,Resistant,Highly Resistant,Highly Resistant,Moderately Resistant,Resistant,Resistant
2,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Highly Susceptible/IMG_20220623_190547.jpg,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Moderately Resistant,Highly Susceptible
3,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Resistant/IMG_20220623_185824.jpg,Resistant,Resistant,Resistant,Resistant,Resistant,Moderately Resistant
4,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Resistant/IMG_3170.jpg,Resistant,Moderately Resistant,Resistant,Susceptible,Highly Susceptible,Highly Susceptible
5,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Moderately Resistant/IMG_20220626_163946.jpg,Moderately Resistant,Susceptible,NA,Susceptible,Moderately Resistant,Susceptible
6,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Moderately Resistant/IMG_2892.jpg,Moderately Resistant,Highly Susceptible,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible
7,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/ Highly Resistant/IMG_2581.jpg, Highly Resistant,Highly Susceptible,Highly Resistant,Moderately Resistant,Highly Susceptible,Moderately Resistant
8,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Susceptible/IMG_20220625_182142.jpg,Susceptible,Highly Susceptible,Highly Susceptible,Moderately Resistant,Susceptible,Susceptible
9,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Susceptible/IMG_20220618_101822.jpg,Susceptible,Highly Susceptible,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Susceptible/IMG_4314.jpg,Susceptible,Susceptible,Susceptible,Moderately Resistant,Resistant,Resistant
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Moderately Resistant/IMG_20220624_183947.jpg,Moderately Resistant,Highly Resistant,Resistant,Resistant,Moderately Resistant,Resistant
12,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Highly Susceptible/IMG_3484.jpg,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Susceptible
13,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Moderately Resistant/IMG_20220623_172515.jpg,Moderately Resistant,Highly Susceptible,Susceptible,Moderately Resistant,Moderately Resistant,Moderately Resistant
14,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/ Highly Resistant/IMG_3798.jpg, Highly Resistant,Highly Resistant,Highly Resistant,Highly Resistant,Moderately Resistant, Highly Resistant
15,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Susceptible/IMG_20220628_171451.jpg,Susceptible,Highly Susceptible,Susceptible,Susceptible,Highly Susceptible,Susceptible
16,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Highly Susceptible/IMG_20220625_183149.jpg,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible
17,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Highly Susceptible/IMG_20220625_175633.jpg,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible
18,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Susceptible/IMG_20220624_171938.jpg,Susceptible,Highly Susceptible,Highly Susceptible,Susceptible,Highly Susceptible,Susceptible
19,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Moderately Resistant/IMG_2628.jpg,Moderately Resistant,Highly Susceptible,Highly Susceptible,Moderately Resistant,Highly Susceptible,Moderately Resistant
20,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/FUSARIUM-22/dataset_raw/Resistant/IMG_20220624_185153.jpg,Resistant,Highly Resistant,Highly Resistant,Resistant,Highly Resistant,Highly Resistant
