,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
0,data/Soybean Seeds/Intact/836.jpg,Intact,Skin-damaged,Skin-damaged,Intact,Intact,Intact
1,data/Soybean Seeds/Immature/10.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Immature
2,data/Soybean Seeds/Spotted/922.jpg,Spotted,Skin-damaged,Spotted,Skin-damaged,Spotted,Spotted
3,data/Soybean Seeds/Immature/875.jpg,Immature,Skin-damaged,Spotted,Intact,Intact,Immature
4,data/Soybean Seeds/Immature/554.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Intact
5,data/Soybean Seeds/Broken/738.jpg,Broken,Broken,Broken,Intact,Broken,Broken
6,data/Soybean Seeds/Broken/960.jpg,Broken,Broken,Broken,Broken,Broken,Broken
7,data/Soybean Seeds/Intact/1008.jpg,Intact,Intact,Intact,Intact,Intact,Intact
8,data/Soybean Seeds/Skin-damaged/926.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Broken
9,data/Soybean Seeds/Skin-damaged/999.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Skin-damaged
10,data/Soybean Seeds/Skin-damaged/268.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Broken
11,data/Soybean Seeds/Broken/949.jpg,Broken,Skin-damaged,Skin-damaged,Skin-damaged,Broken,Skin-damaged
12,data/Soybean Seeds/Spotted/974.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
13,data/Soybean Seeds/Broken/544.jpg,Broken,Broken,Broken,Broken,Broken,Broken
14,data/Soybean Seeds/Intact/192.jpg,Intact,Skin-damaged,Intact,Intact,Intact,Intact
15,data/Soybean Seeds/Skin-damaged/568.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Broken
16,data/Soybean Seeds/Spotted/8.jpg,Spotted,Skin-damaged,Spotted,Spotted,Spotted,Spotted
